ZEIT;RAUMID;BEZ;PGR;BZR;PLR;STADTRAUM;E_A;E_AM;E_AW;E_A00_01;E_A01_02;E_A02_03;E_A03_05;E_A05_06;E_A06_07;E_A07_08;E_A08_10;E_A10_12;E_A12_14;E_A14_15;E_A15_18;E_A18_21;E_A21_25;E_A25_27;E_A27_30;E_A30_35;E_A35_40;E_A40_45;E_A45_50;E_A50_55;E_A55_60;E_A60_63;E_A63_65;E_A65_67;E_A67_70;E_A70_75;E_A75_80;E_A80_85;E_A85_90;E_A90_95;E_A95_110;E_AU1;E_A1U6;E_A6U15;E_A15U18;E_A18U25;E_A25U55;E_A55U65;E_A65U80;E_A80U110
200612;02010102;02;01;01;02;1;4124;2066;2058;27;21;12;51;25;24;46;106;110;124;54;184;177;195;161;246;495;466;417;268;208;194;107;54;66;90;101;41;33;15;6;0;27;109;464;184;372;2261;355;298;54
200612;02010103;02;01;01;03;1;4702;2462;2240;13;21;18;34;25;25;66;124;102;132;70;166;170;271;193;332;559;534;489;276;252;198;144;91;80;108;132;37;24;7;3;6;13;98;519;166;441;2635;433;357;40
200612;02010104;02;01;01;04;1;1893;999;894;12;7;4;30;9;22;34;81;65;53;28;102;83;80;55;107;213;198;191;126;77;89;46;36;28;40;34;20;7;10;0;6;12;50;283;102;163;967;171;122;23
200612;02020201;02;02;02;01;1;94;61;33;0;0;0;0;0;0;3;0;0;0;0;0;3;21;3;6;9;10;6;6;6;9;3;0;3;3;0;0;0;3;0;0;0;0;3;0;24;46;12;6;3
200612;02020202;02;02;02;02;1;1485;763;722;6;6;0;6;0;10;6;33;15;29;21;45;59;95;60;96;198;171;163;124;83;83;34;31;25;35;21;18;6;3;3;0;6;12;114;45;154;895;148;99;12
200612;02020203;02;02;02;03;1;2160;1175;985;3;0;9;15;9;0;15;21;32;29;9;38;32;113;130;206;327;269;239;180;119;125;73;28;24;40;45;21;0;6;3;0;3;33;106;38;145;1470;226;130;9
200612;02020204;02;02;02;04;1;2899;1593;1306;3;6;0;10;9;9;26;54;49;54;13;76;77;177;149;246;346;328;325;233;162;166;75;50;55;66;83;21;16;6;3;6;3;25;205;76;254;1789;291;225;31
200612;01011101;01;01;11;01;1;1129;634;495;0;6;0;9;0;0;3;4;3;6;4;8;39;120;132;175;157;100;77;63;63;56;22;19;6;14;21;7;9;3;0;3;0;15;20;8;159;767;97;48;15
200612;01011102;01;01;11;02;1;30;21;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;12;4;7;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;27;3;0;0
200612;01011103;01;01;11;03;1;1439;730;709;9;9;6;9;6;3;13;27;18;25;6;40;47;108;72;89;146;148;150;132;97;86;36;9;30;19;40;26;20;7;3;3;9;30;92;40;155;834;131;115;33
200612;01011104;01;01;11;04;1;1578;816;762;3;6;13;12;6;12;12;46;38;21;31;54;56;186;95;139;177;142;137;106;57;62;36;16;12;19;30;36;9;6;0;3;3;37;160;54;242;853;114;97;18
200612;01011105;01;01;11;05;1;277;157;120;0;3;0;9;0;0;3;3;3;3;0;7;3;21;6;18;30;44;30;25;25;22;7;0;0;6;3;0;3;3;0;0;0;12;12;7;24;178;29;9;6
200612;01011201;01;01;12;01;1;602;345;257;0;0;3;6;4;6;10;6;18;7;0;16;12;42;21;34;46;72;62;64;48;41;21;13;3;19;16;6;3;0;3;0;0;13;47;16;54;347;75;44;6
200612;01011202;01;01;12;02;1;96;51;45;0;0;3;0;0;3;0;0;0;0;0;0;0;9;6;9;18;12;6;12;3;3;6;3;0;0;0;0;0;0;3;0;0;3;3;0;9;66;12;0;3
200612;01011203;01;01;12;03;1;392;211;181;3;0;3;0;0;0;3;4;3;3;3;15;25;19;12;12;44;45;35;32;49;34;6;9;0;19;11;0;3;0;0;0;3;3;16;15;44;229;49;30;3
200612;01011204;01;01;12;04;1;1237;647;590;6;6;9;0;6;6;0;11;12;9;3;26;40;80;74;103;155;132;94;110;83;99;45;31;24;12;25;15;15;6;0;0;6;21;41;26;120;751;175;76;21
200612;01011301;01;01;13;01;1;867;476;391;3;0;6;6;3;4;3;3;0;3;4;9;25;59;66;107;155;124;95;68;45;33;6;12;6;7;9;0;3;0;3;0;3;15;17;9;84;660;51;22;6
200612;01011302;01;01;13;02;1;2171;1126;1045;9;13;6;20;6;3;6;24;24;21;13;43;52;213;166;263;416;319;215;121;100;40;36;6;3;15;6;6;3;0;3;0;9;45;91;43;265;1600;82;30;6
200612;01011303;01;01;13;03;1;1437;734;703;6;3;9;12;13;3;12;9;18;19;9;40;23;135;114;149;240;199;143;89;57;46;22;6;3;12;18;16;9;3;0;0;6;37;70;40;158;991;74;49;12
200612;01011304;01;01;13;04;1;1046;501;545;3;6;13;15;10;6;12;30;25;28;12;40;40;83;48;77;120;124;105;67;61;30;19;6;3;6;18;18;18;0;3;0;3;44;113;40;123;602;55;45;21
200612;01011305;01;01;13;05;1;900;488;412;3;9;6;12;0;3;13;28;12;12;3;30;31;62;38;80;144;100;92;56;45;45;10;10;16;25;9;6;0;0;0;0;3;27;71;30;93;555;65;56;0
200612;01011306;01;01;13;06;1;1331;777;554;6;9;6;9;3;6;12;14;16;14;3;67;73;195;80;106;192;159;117;79;60;50;21;3;6;12;7;3;3;0;0;0;6;27;65;67;268;793;74;28;3
200612;01011401;01;01;14;01;1;2450;1271;1179;6;13;12;18;15;13;12;25;18;29;13;37;67;270;212;356;441;351;228;126;71;47;22;9;6;6;12;9;6;0;0;0;6;58;110;37;337;1785;78;33;6
