Nr.,Planungsraum,,Status 1,Status 2,Status 3,Status 4,Status 5, Status 6,Dynamik 1,Dynamik 2,Dynamik 3,Dynamik 4,Dynamik 5,Dynamik 6,E 1,E 2,E 3,E 4,E 5,E 6,E 7,E 8,E 9,E 10,E 11,E 12,E 13,E 14,E 15,E 16,E 17,E 18,E 19,E 20,E 21,E 22,      E 23
07060604,Marienfelde Süd,"13,561  ",9.8,4.7,3.5,17.3,48.7,49.4,17.6,-0.4,-2.4,-0.7,-1.4,-3.1,14.4,-0.4,-0.3,4.4,14.7,26.8,9.5,32.2,5.6,55.1,2.0,0.5,1.6,0.9,0.8,2.3,2.1,3.2,-0.7,0.3,-0.9,15.8,34.0
07070701,Kettinger Str./Schillerstr.,"10,324  ",5.0,1.4,1.7,6.2,16.5,29.6,18.2,0.1,1.1,-0.3,0.2,-2.7,12.3,0.2,-0.4,4.1,15.0,25.9,6.1,16.1,4.2,35.3,1.2,0.1,0.3,1.0,1.4,1.2,1.1,2.6,-0.5,-1.1,-0.5,6.7,14.4
07070702,Alt-Lichtenrade/Töpchiner Weg,"10,198  ",5.5,2.5,2.1,7.4,17.0,28.6,20.1,0.4,0.7,-0.6,0.7,-2.2,13.1,0.3,-0.3,4.1,16.5,22.2,5.1,15.7,3.0,29.7,0.9,0.2,0.3,1.0,0.8,1.0,0.8,1.8,-0.4,-0.4,-0.3,8.0,22.5
07070703,John-Locke-Str.,"7,831  ",10.1,5.7,3.7,14.6,39.0,35.4,17.4,-0.4,1.1,-0.6,-1.1,-2.4,13.7,-0.4,-0.4,4.0,15.0,28.4,7.1,21.7,3.9,37.6,1.5,0.8,0.2,0.7,1.0,2.0,1.8,3.0,0.0,1.2,-0.8,14.8,31.3
07070704,Nahariyastr.,"7,387  ",11.1,4.8,4.3,18.5,49.2,44.1,25.3,3.1,16.7,-0.8,0.5,1.7,17.3,2.5,0.3,4.9,17.5,23.7,8.2,28.2,4.9,48.9,1.1,0.9,1.2,1.0,1.1,2.1,2.0,3.2,0.6,0.0,-0.3,17.0,31.7
07070705,Franziusweg/ Rohrbachstr.,"7,105  ",4.4,3.7,1.4,5.2,11.6,23.5,19.0,0.4,2.5,-0.2,-2.3,-1.0,13.1,0.4,-0.1,5.0,17.1,21.1,5.6,14.8,2.6,26.3,0.8,0.1,0.7,0.4,1.1,1.3,1.1,2.4,-0.2,2.3,-0.3,5.9,14.1
07070706,Horstwalder Str./Paplitzer Str.,"3,703  ",4.8,2.6,1.6,5.0,16.2,21.0,22.4,-0.5,0.6,-0.5,-1.3,-5.3,18.1,-0.5,-0.9,4.8,14.7,27.0,3.6,11.4,0.6,27.0,0.5,0.1,0.1,0.1,1.1,1.0,0.9,2.1,0.0,1.3,-0.6,5.8,10.6
07070707,Wittelsbacherstr.,"2,974  ",3.7,1.1,1.1,2.5,9.3,14.9,17.1,-0.5,2.6,-0.1,-0.4,2.6,10.4,-0.1,0.0,3.5,13.8,30.1,4.6,9.8,4.4,18.1,0.2,0.3,0.7,0.6,1.4,0.2,0.0,1.6,-0.5,-0.8,-0.6,3.7,3.6
08010115,Hasenheide,804  ,7.3,8.5,1.7,14.7,39.6,54.7,28.0,-2.6,-9.8,-1.3,2.1,-3.6,17.6,-1.5,-0.1,7.2,15.9,13.4,19.3,34.7,10.2,62.1,2.6,2.0,0.5,1.9,7.0,0.4,0.4,7.3,0.0,8.5,-1.1,13.9,18.1
08010116,Wissmannstraße,"3,388  ",14.0,10.3,5.0,29.5,64.4,78.4,32.5,1.3,-4.0,-0.6,1.1,1.0,23.4,1.9,-0.1,5.5,15.2,12.2,35.3,53.4,26.8,71.1,16.7,2.5,0.7,5.4,3.6,2.4,1.7,6.0,-2.0,0.1,-1.2,28.3,37.7
08010117,Schillerpromenade,"14,947  ",14.8,8.5,5.2,27.6,63.7,76.5,41.9,1.5,-7.1,-0.9,-1.4,-2.9,23.1,0.3,-0.1,5.7,14.4,8.9,35.8,51.0,30.9,77.6,11.3,4.3,0.8,4.8,4.4,6.0,4.2,10.4,-2.3,-1.4,-1.2,31.8,29.9
