Nr.,Planungsraum,,Status 1,Status 2,Status 3,Status 4,Status 5, Status 6,Dynamik 1,Dynamik 2,Dynamik 3,Dynamik 4,Dynamik 5,Dynamik 6,E 1,E 2,E 3,E 4,E 5,E 6,E 7,E 8,E 9,E 10,E 11,E 12,E 13,E 14,E 15,E 16,E 17,E 18,E 19,E 20,E 21,E 22,      E 23
09020501,Oberschöneweide West,"4,867  ",18.4,5.6,8.5,20.9,56.8,18.0,42.9,2.5,0.0,-0.8,8.2,-1.9,28.5,3.9,0.2,5.9,14.7,12.0,6.3,11.6,6.6,18.9,0.5,0.2,0.9,0.9,0.3,1.8,1.3,2.2,-1.8,-0.4,1.0,27.3,32.0
09020502,Oberschöneweide Ost,"12,373  ",12.8,5.9,5.1,15.7,42.5,20.6,37.6,2.4,-0.7,-1.0,6.0,-2.6,28.6,3.0,-0.2,6.0,13.8,19.4,4.9,11.1,7.7,14.6,0.3,0.1,0.7,1.1,0.4,1.2,0.9,1.6,-1.7,1.4,0.2,18.5,32.9
09020601,Schnellerstr,"6,529  ",12.3,4.3,5.0,13.5,44.4,22.4,44.0,0.1,-5.8,-0.5,-2.4,-4.5,25.1,0.4,-0.1,5.7,12.2,21.1,9.0,15.7,4.4,21.1,0.4,1.0,0.7,0.8,0.5,1.5,0.7,2.0,-1.5,0.2,0.1,17.0,17.7
09020602,Oberspree,"3,477  ",6.3,5.6,2.2,5.1,20.0,7.3,15.8,0.0,4.3,0.2,-13.2,-3.3,14.7,0.0,-0.4,3.7,10.7,32.0,1.1,6.8,0.0,4.7,0.0,0.1,0.3,0.2,0.2,0.1,0.1,0.3,0.5,4.7,0.0,6.7,18.9
09020701,Adlershof West,244  ,8.1,0.0,6.5,16.0,0.0,30.0,63.7,-8.1,11.1,-22.2,0.0,0.0,11.1,1.1,-0.4,1.6,4.1,20.1,23.4,24.6,30.0,0.0,0.0,0.0,2.9,1.2,2.5,2.5,1.2,4.9,-3.6,0.0,1.1,28.9,0.0
09020702,Adlershof Ost,"14,879  ",9.3,5.5,3.6,8.5,25.4,11.0,26.4,0.4,-2.9,-1.2,-0.5,-3.2,21.9,0.5,-0.2,4.7,11.3,24.2,2.9,7.9,3.8,12.2,0.1,0.1,0.7,0.1,0.3,0.8,0.5,1.1,-1.0,0.9,0.3,12.0,14.5
09020801,Spindlersfeld,"2,728  ",9.1,1.6,3.2,9.1,22.7,7.0,28.2,-0.5,-3.8,0.0,-6.6,-5.0,20.6,-0.4,0.0,4.9,11.0,22.4,1.5,6.0,2.0,6.8,0.0,0.0,0.4,0.0,0.2,0.2,0.2,0.4,0.2,0.0,-0.2,12.7,24.4
09020802,Kölln. Vorstadt,"6,735  ",11.8,7.2,5.0,17.8,54.4,11.3,32.5,1.3,6.3,-1.0,-0.6,0.7,22.8,1.9,0.0,6.4,14.7,20.8,3.8,9.0,2.4,10.3,0.1,0.0,0.6,0.2,0.3,1.6,1.3,1.9,-2.4,0.6,0.3,18.9,16.4
09030901,Dorf Altglienicke,"11,488  ",4.0,1.8,1.4,3.6,10.0,11.2,15.7,-0.1,3.2,-0.6,-0.8,-0.4,12.2,-0.2,-0.3,4.5,15.7,17.8,2.7,7.9,1.9,11.1,0.3,0.1,0.2,0.4,0.5,0.8,0.6,1.3,-0.6,-0.2,-0.1,5.0,5.9
09030902,Wohngebiet II,"5,795  ",15.6,6.6,6.4,21.6,56.5,14.5,29.8,0.8,3.5,0.1,-0.4,1.8,17.6,1.2,-0.2,6.0,19.4,14.2,3.6,10.1,2.7,15.7,0.4,0.1,1.0,0.4,0.1,1.1,0.6,1.2,-0.3,2.5,0.2,23.4,35.1
09030903,Kölner Viertel,"7,899  ",8.0,3.9,3.1,12.6,28.2,17.7,22.2,1.4,4.9,-0.8,-5.2,-2.6,11.0,1.3,0.1,7.1,21.4,12.5,2.5,13.3,1.8,17.6,0.4,0.2,0.7,0.2,0.2,0.4,0.2,0.6,-0.9,1.4,0.0,12.5,35.9
09031001,Bohnsdorf,"11,724  ",4.8,3.5,1.8,4.4,11.7,9.8,16.1,-0.4,0.4,-0.6,5.2,-4.3,12.9,-0.4,-0.1,4.1,13.9,21.2,1.8,6.7,0.9,13.0,0.2,0.1,0.3,0.1,0.3,0.5,0.2,0.8,-0.6,1.0,0.1,6.2,14.4
09031101,Grünau,"5,493  ",5.3,2.9,1.9,4.5,13.0,9.1,20.0,0.6,2.0,0.0,5.2,0.2,14.7,0.6,-0.4,4.4,11.4,30.5,2.4,7.2,1.4,13.2,0.2,0.0,0.4,0.0,0.5,0.9,0.4,1.4,-0.5,-1.4,0.2,6.2,11.4
09031201,Karolinenhof,"1,761  ",2.8,2.0,0.7,1.3,2.3,12.0,15.1,-0.2,-11.4,-0.6,0.0,-1.3,21.5,0.1,-0.7,3.6,11.8,24.5,1.2,8.3,0.0,25.4,0.0,0.0,0.3,0.0,0.2,0.7,0.5,0.9,-0.8,2.0,-0.2,2.9,0.0
09031202,Schmöckwitz/Rauchfangswerder,"2,334  ",3.8,1.8,1.0,2.4,4.4,8.3,15.6,-1.5,1.3,-0.1,0.0,-2.0,16.5,-0.8,0.0,3.6,13.9,22.2,3.1,6.9,1.8,7.1,0.0,0.1,0.6,0.1,0.4,1.2,0.4,1.5,0.0,1.8,-0.4,4.3,0.0
09041301,Kietzer Feld / Nachtheide,"13,844  ",8.1,4.4,3.3,7.0,24.6,7.6,17.7,0.8,0.5,-0.4,10.4,-0.2,16.8,0.7,-0.3,3.1,9.9,32.3,0.9,5.5,0.9,9.2,0.0,0.0,0.1,0.0,0.2,0.3,0.2,0.5,-0.5,0.7,0.4,9.7,25.4
09041302,Wendenschloß,"1,795  ",3.1,2.8,0.7,1.6,2.7,10.3,26.0,0.4,5.7,0.1,0.0,-1.2,15.2,1.6,-0.3,5.8,14.5,23.8,1.0,5.8,0.0,8.7,0.0,0.0,0.3,0.0,0.3,0.2,0.2,0.5,-0.3,2.8,-0.3,3.2,0.0
09041401,Allende I,"4,723  ",6.8,4.7,2.7,8.4,29.7,13.1,16.7,2.1,4.9,-0.7,0.7,-9.9,16.8,1.9,0.1,3.2,10.1,39.7,1.9,8.5,3.8,16.8,0.0,0.0,0.4,0.1,0.2,0.6,0.2,0.8,-0.3,1.7,0.3,8.8,30.3
09041402,Allende II,"1,603  ",6.8,0.0,2.8,9.9,42.6,13.0,21.0,0.5,6.1,-1.9,1.2,9.8,13.4,0.4,-0.3,5.4,12.9,24.8,0.9,12.9,0.0,11.5,0.0,0.0,0.6,0.0,0.2,0.0,0.0,0.2,-1.8,-5.8,-0.2,9.4,46.7
09041501,Altstadt-Kietz,"6,586  ",12.0,5.3,5.3,16.9,49.5,14.8,34.3,-0.3,-1.2,-1.9,-1.4,-4.4,21.1,0.2,-0.9,6.6,16.2,14.2,4.5,10.6,3.1,15.0,0.2,0.3,0.8,0.4,0.4,1.7,1.3,2.0,-1.9,0.4,0.8,18.4,21.1
09041601,Müggelheim,"6,350  ",4.4,1.6,1.9,2.9,5.4,8.2,13.4,0.7,7.7,-0.4,-4.6,-2.0,8.2,0.6,-0.6,3.6,12.8,20.8,1.3,5.6,0.4,10.1,0.0,0.0,0.3,0.0,0.2,0.4,0.2,0.6,-0.6,0.7,0.1,5.4,3.5
09051701,Hirschgarten,"3,519  ",4.9,2.4,1.9,4.4,12.1,7.1,14.0,0.5,5.6,-0.9,2.2,-5.0,15.0,0.8,-0.1,3.4,10.0,39.0,1.0,5.9,0.0,10.0,0.0,0.0,0.1,0.2,0.4,0.2,0.1,0.6,-0.8,2.4,-0.3,5.9,13.9
09051702,Bölschestraße,"13,780  ",5.6,1.9,1.9,4.8,11.8,10.1,21.0,1.4,3.3,-0.4,0.1,-0.9,15.0,1.7,-0.3,5.0,12.7,31.7,1.9,7.1,1.3,13.7,0.1,0.0,0.3,0.1,0.5,0.5,0.3,0.9,-0.4,-0.2,0.2,6.5,10.9
09051801,Rahnsdorf/Hessenwinkel,"8,917  ",3.7,1.9,1.0,2.7,6.1,9.2,15.3,1.4,7.8,-0.2,-2.6,0.1,10.7,1.5,-0.1,4.6,13.8,24.8,1.8,6.9,1.5,13.0,0.1,0.1,0.2,0.1,0.3,0.7,0.4,1.0,-0.2,0.0,0.0,4.2,8.8
09051901,Dammvorstadt,"8,930  ",8.6,4.2,3.4,9.8,28.7,10.4,31.1,1.3,-3.4,-0.6,-0.6,-3.0,24.3,1.3,0.1,5.1,11.6,24.4,2.2,7.0,2.4,6.4,0.1,0.0,0.6,0.2,0.2,0.5,0.3,0.7,-1.2,-0.1,-0.1,12.1,25.3
09052001,Köpenick-Nord,"12,400  ",6.7,3.7,2.5,5.5,14.3,9.1,17.4,1.2,8.4,-0.4,1.5,-1.8,9.9,1.1,-0.1,3.7,10.8,32.9,1.2,6.4,1.2,8.2,0.1,0.0,0.2,0.1,0.1,0.4,0.2,0.5,-0.9,1.3,0.0,8.0,15.1
10010101,Marzahn-West,"5,469  ",18.8,11.6,8.7,24.6,69.2,37.8,37.1,2.7,1.1,-1.1,-0.8,5.5,25.1,2.4,-0.6,7.4,16.7,9.6,7.7,21.2,11.0,40.3,0.2,0.0,2.5,0.6,0.0,1.8,1.7,1.8,-2.1,0.3,-1.5,27.6,47.3
10010102,Havemannstr.,"17,031  ",18.3,12.7,8.0,26.4,68.2,30.0,28.0,-1.0,0.0,-1.1,-0.4,-1.3,20.9,-1.0,-0.4,7.1,18.0,10.6,6.2,19.7,5.3,32.8,0.2,0.1,2.2,0.2,0.2,0.8,0.5,1.0,-1.7,1.3,-1.8,28.3,48.2
10010203,Gewerbegebiet Bitterfelder Str.,271  ,48.0,40.6,20.3,22.5,37.5,64.0,342.2,31.8,,-9.9,10.4,,,1.0,-1.0,3.7,9.2,3.3,24.7,31.7,36.0,70.0,3.3,4.8,6.6,0.0,0.0,0.0,0.0,0.0,-21.3,-23.8,-15.7,81.4,10.4
10010204,Wuhletalstr.,"9,974  ",17.7,9.9,7.8,22.2,64.3,27.0,27.6,0.4,1.2,-0.5,2.2,-1.0,19.6,0.4,-0.5,6.4,16.4,12.2,4.5,17.4,6.4,27.0,0.3,0.1,1.3,0.9,0.0,0.6,0.4,0.6,-1.0,-1.4,-1.6,25.6,41.2
10010205,Marzahn-Ost,"7,502  ",16.1,11.6,6.8,19.1,59.9,13.6,27.0,-3.1,-3.2,-0.3,-1.1,0.1,21.0,-3.1,-0.9,5.2,13.6,10.6,3.3,9.3,2.2,11.5,0.2,0.0,0.9,0.4,0.1,1.0,0.6,1.1,-0.5,1.1,-0.9,24.6,29.9
10010206,Ringkolonnaden,"15,461  ",15.0,9.5,6.7,16.2,56.8,25.0,24.5,-0.7,-6.9,-1.0,-3.1,-3.3,22.9,-0.7,-0.3,4.6,11.4,18.8,3.4,13.4,5.0,25.2,0.1,0.1,1.2,0.2,0.1,0.5,0.3,0.6,-1.2,-0.7,-0.9,20.7,39.9
10010207,Marzahner Promenade,"10,442  ",14.0,11.7,6.1,17.8,61.3,28.6,25.2,0.4,10.1,-0.7,4.5,2.6,20.9,0.0,-0.2,5.3,13.0,17.2,5.0,15.5,6.4,31.0,0.4,0.1,1.4,0.3,0.4,0.3,0.2,0.7,-1.1,0.5,-0.9,19.6,46.6
10010308,Marzahner Chaussee,"1,658  ",5.7,4.4,2.3,3.2,10.2,15.4,19.3,2.0,-2.2,0.4,-0.5,-1.9,17.4,1.4,0.0,2.3,8.6,23.2,6.9,12.9,4.2,7.9,0.0,0.0,0.5,0.4,0.5,3.1,2.4,3.6,0.0,0.1,-0.4,6.7,4.3
10010309,Springpfuhl,"14,276  ",12.8,8.6,5.3,15.7,53.6,36.1,20.7,0.5,1.2,-1.5,1.6,-3.4,17.3,0.3,-0.2,4.8,12.1,23.2,5.8,17.8,12.6,35.7,0.2,0.5,2.2,0.7,0.1,0.7,0.3,0.8,-1.2,-0.3,-1.2,17.7,35.8
10010310,Alt-Marzahn,"17,031  ",11.1,7.6,4.7,12.7,44.2,25.9,19.8,-0.3,4.2,-0.2,4.4,0.6,13.7,-0.5,-0.4,4.4,11.7,18.6,3.7,13.4,5.8,24.7,0.1,0.1,1.2,0.1,0.1,0.4,0.2,0.6,-0.7,-0.2,-0.8,15.4,37.4
10010311,Landsberger Tor,"3,032  ",7.4,5.6,3.5,10.8,35.8,29.5,23.5,0.6,-1.5,-2.0,-0.8,-6.3,9.2,0.7,-0.4,6.0,15.1,22.8,4.0,15.9,4.8,23.6,0.0,0.2,1.5,0.0,0.0,0.0,0.0,0.0,-2.0,-0.4,-0.4,10.1,32.0
10020412,Alte Hellersdorfer Straße,"5,424  ",20.8,12.8,9.2,30.6,70.2,21.3,39.2,-0.5,-3.1,-1.0,1.9,-3.0,33.4,-0.7,-0.5,8.2,21.3,10.5,4.3,14.7,3.5,21.3,0.3,0.1,1.4,0.2,0.2,0.3,0.2,0.4,-0.7,1.6,-1.8,32.4,46.6
10020413,Gut Hellersdorf,"14,361  ",15.5,9.2,6.3,18.8,59.3,10.7,28.9,-2.0,-6.4,-1.0,7.6,1.2,25.8,-1.6,-0.2,5.1,13.2,13.3,1.9,8.4,1.4,11.3,0.2,0.1,0.5,0.2,0.2,0.3,0.2,0.4,-1.1,0.8,-1.3,24.0,37.7
10020414,Helle Mitte,"1,747  ",20.4,7.2,8.8,35.4,80.7,63.1,26.2,-3.3,-0.7,-0.8,4.8,9.3,13.8,-2.9,-1.2,8.4,21.2,12.9,9.0,48.5,6.7,61.9,0.0,0.0,6.2,0.9,0.0,0.9,0.5,0.9,-3.4,-2.8,-2.2,32.0,63.7
10020415,Hellersdorfer Promenade,"4,848  ",18.4,9.0,8.5,25.2,70.3,12.0,31.8,-2.8,-1.6,-1.7,4.8,-2.0,26.1,-2.7,-0.5,6.5,17.7,11.1,3.2,8.7,1.0,16.4,0.1,0.2,1.2,0.1,0.0,0.7,0.4,0.7,-3.0,-0.8,-1.6,28.3,32.7
10020416,Böhlener Str.,"4,072  ",19.0,12.0,7.9,26.2,72.0,13.6,43.8,-0.4,-8.0,-0.7,-0.6,0.4,34.9,-0.6,-0.3,6.7,17.6,8.9,4.2,9.9,3.9,13.1,0.1,0.3,1.2,0.2,0.5,0.6,0.3,1.1,-1.3,2.2,-1.1,30.4,34.7
10020517,Adele-Sandrock-Str.,"8,959  ",10.3,6.3,4.2,11.5,37.3,10.8,22.7,-1.9,4.7,-0.3,5.6,0.8,19.2,-1.5,-0.6,3.7,11.6,14.5,1.4,6.3,1.2,11.6,0.1,0.1,0.3,0.0,0.1,0.3,0.2,0.5,-0.2,2.1,-0.6,15.8,28.8
10020518,Schleipfuhl,"4,712  ",16.3,9.4,6.6,21.5,55.0,11.2,32.2,-7.1,-6.3,-1.2,3.5,-5.0,25.9,-6.7,-0.9,7.9,20.1,10.1,2.3,8.3,1.6,13.4,0.1,0.1,0.4,0.1,0.3,0.5,0.3,0.8,-0.6,0.5,-1.0,24.2,33.3
10020519,Boulevard Kastanienallee,"4,367  ",21.6,13.5,9.4,29.8,77.1,9.0,40.6,-2.8,-2.1,1.1,-3.9,0.6,32.6,-2.7,-0.7,9.0,20.0,10.2,2.8,8.4,2.1,10.2,0.2,0.2,0.8,0.1,0.1,0.6,0.4,0.6,-0.1,2.3,-0.7,32.2,43.1
10020620,Kaulsdorf-Nord II,"3,032  ",13.4,7.8,6.5,14.2,45.0,17.8,28.3,-0.6,-17.7,-2.7,10.7,-8.5,32.3,-0.4,-0.2,3.9,9.8,11.3,3.1,11.0,2.0,16.1,0.1,0.0,1.0,0.0,0.2,0.7,0.6,0.9,-1.4,-0.4,-0.5,21.0,36.6
10020621,Gelbes Viertel,"5,543  ",17.0,10.4,6.9,20.3,60.0,14.5,37.1,-3.8,-6.9,-1.3,-8.0,0.7,30.4,-3.7,-0.5,6.2,16.1,8.4,2.5,9.1,1.8,11.1,0.1,0.1,0.8,0.1,0.1,0.6,0.3,0.6,-0.1,2.5,-1.1,25.3,32.1
10020622,Kaulsdorf-Nord I,"8,402  ",11.5,9.5,4.1,13.2,47.8,18.5,24.2,0.9,5.1,-0.6,1.9,-1.6,17.2,1.0,-0.5,4.5,11.7,19.6,3.4,11.3,5.7,16.5,0.1,0.1,1.1,0.7,0.2,0.7,0.2,0.9,-0.4,2.2,-1.4,16.0,30.1
10020623,Rotes Viertel,"6,363  ",10.1,5.1,4.2,11.0,41.1,14.7,21.7,-3.5,-2.7,-0.8,-7.2,-0.5,17.0,-3.4,-1.0,3.6,10.6,19.7,1.7,8.1,0.0,22.0,0.2,0.0,0.4,0.0,0.1,0.3,0.2,0.4,-1.2,-1.3,-1.1,14.7,24.3
10030724,Oberfeldstr.,"8,262  ",2.6,1.2,0.8,1.7,4.4,15.9,21.2,1.0,2.7,-0.5,-0.1,-1.1,13.4,-0.1,-0.1,3.1,9.0,19.6,11.8,17.7,3.5,18.1,0.2,0.2,1.0,0.3,5.7,1.7,0.8,7.4,-0.4,-0.5,-0.3,3.6,0.5
10030725,Buckower Ring,"5,735  ",11.9,10.4,5.6,11.3,33.0,22.7,27.5,1.1,-4.4,-1.7,-5.9,-8.2,24.0,0.6,-0.1,3.2,10.2,20.4,5.0,13.1,7.7,17.1,0.2,0.6,0.8,0.2,0.2,0.5,0.3,0.7,-2.2,-0.2,-0.6,17.1,15.5
10030726,Alt-Biesdorf,"2,593  ",4.4,3.9,1.2,2.4,6.5,12.9,16.4,3.1,7.9,0.1,17.2,-2.6,4.5,2.8,-0.3,3.7,11.3,24.9,2.2,8.1,1.0,20.0,0.0,0.0,0.5,0.2,0.3,0.7,0.3,1.0,0.4,2.5,-0.5,4.4,17.2
10030727,Biesdorf-Süd,"8,314  ",3.2,1.6,1.0,1.8,3.9,13.1,14.8,2.0,16.2,0.1,0.7,-1.1,7.7,2.0,-0.2,3.7,13.2,17.2,1.9,7.1,0.8,15.8,0.1,0.0,0.3,0.0,0.4,0.4,0.3,0.8,0.0,-0.5,-0.2,3.6,6.8
10040828,Kaulsdorf-Nord,"7,732  ",5.9,4.6,2.3,5.8,20.3,7.3,17.8,-0.4,14.1,-0.5,3.9,4.3,9.5,-0.3,-0.3,4.2,13.9,14.4,1.1,5.3,0.8,8.6,0.1,0.0,0.4,0.0,0.0,0.3,0.2,0.3,-0.9,-0.8,-0.3,7.8,11.6
10040829,Alt-Kaulsdorf,"3,575  ",4.8,2.9,2.2,3.9,7.2,11.8,21.4,0.0,-2.7,-1.2,-5.5,-2.7,20.4,0.4,0.0,3.9,13.8,18.6,2.1,6.7,1.8,13.8,0.1,0.1,0.2,0.3,0.4,0.8,0.2,1.2,-1.2,0.5,-0.3,6.3,13.2
10040830,Kaulsdorf-Süd,"7,456  ",3.0,2.1,1.0,2.1,4.8,6.8,13.7,-0.2,4.3,-0.8,3.3,-1.2,6.7,0.1,-0.1,3.6,12.8,18.1,1.3,6.1,0.6,6.8,0.0,0.0,0.4,0.2,0.1,0.3,0.2,0.4,-0.8,-0.8,-0.6,3.6,10.4
10040931,Mahlsdorf-Nord,"8,833  ",3.6,2.0,1.3,2.4,5.9,10.2,14.3,-0.2,9.0,-0.3,0.0,0.8,8.2,-0.1,-0.2,3.5,12.7,16.5,1.6,5.8,1.2,11.3,0.1,0.1,0.2,0.1,0.4,0.3,0.2,0.7,-0.6,-0.1,-0.5,4.4,9.4
10040932,Alt-Mahlsdorf,"3,850  ",3.9,1.7,1.3,3.2,7.8,7.6,19.4,-0.2,-9.4,-0.2,0.0,-2.4,17.4,-0.1,-0.6,3.4,12.6,18.4,1.3,6.1,1.2,6.8,0.0,0.0,0.1,0.1,0.2,0.4,0.3,0.6,-0.6,-1.0,-0.5,5.2,0.0
10040933,Mahlsdorf-Süd,"14,310  ",3.8,2.0,1.1,1.8,4.0,6.4,14.6,-0.3,5.2,-0.4,1.1,-1.4,9.4,-0.1,-0.3,3.6,13.1,18.1,1.0,5.7,0.3,7.9,0.0,0.0,0.3,0.0,0.1,0.5,0.2,0.6,-0.1,0.0,-0.6,4.0,10.7
11010101,Dorf Malchow,478  ,5.2,8.3,2.2,10.0,11.4,7.6,33.0,4.0,27.8,-5.6,0.0,3.3,5.6,3.2,-0.4,4.4,16.5,17.4,2.5,7.1,3.8,0.0,0.0,0.0,1.3,0.0,0.0,0.6,0.6,0.6,-1.6,8.3,-0.5,12.0,0.0
11010102,Dorf Wartenberg,"2,422  ",3.4,1.3,1.3,2.1,7.3,3.1,14.5,-0.7,12.9,-1.4,0.0,0.9,7.1,-0.7,-0.2,3.8,12.0,14.3,1.1,4.2,1.0,6.5,0.0,0.0,0.1,0.1,0.7,0.1,0.0,0.9,-1.5,-1.3,-0.6,4.0,0.0
11010103,Dorf Falkenberg,"1,172  ",4.6,1.6,2.2,3.1,7.8,1.8,14.1,2.3,0.0,-0.8,0.0,0.8,10.4,2.3,-0.5,4.4,14.2,10.5,1.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.5,0.8,-0.5,1.6,-0.9,5.8,0.0
11010204,Falkenberg Ost,"8,768  ",14.8,8.2,5.9,21.8,60.0,29.1,25.4,-0.4,1.9,-1.1,-1.3,0.3,19.7,-0.7,-0.3,7.0,17.2,9.4,6.6,17.9,7.2,30.8,0.2,0.1,1.5,0.5,0.3,0.6,0.2,0.9,-0.3,1.0,-0.4,23.2,40.0
11010205,Falkenberg West,"6,532  ",13.2,7.7,5.6,19.7,61.8,34.0,26.2,-1.6,-2.6,-0.2,-3.4,2.8,19.9,-2.1,-0.7,5.6,14.4,11.1,6.6,18.2,8.0,30.4,0.3,0.1,1.5,0.4,0.2,0.8,0.3,0.9,-0.9,0.5,-0.1,20.8,43.3
11010206,Wartenberg Süd,"5,989  ",12.9,8.5,5.3,17.6,55.0,24.3,23.5,-2.3,-6.8,-0.7,-3.0,-6.0,21.2,-2.4,-0.3,5.0,13.9,14.8,4.9,12.7,8.6,25.2,0.1,0.2,1.1,0.3,0.2,0.9,0.5,1.1,-0.4,2.1,-0.2,19.3,43.3
11010207,Wartenberg Nord,"6,575  ",12.6,7.5,4.7,16.3,50.9,16.2,26.9,-0.7,-3.7,-1.2,-0.1,-3.0,20.6,-0.9,-0.4,5.4,13.8,16.5,3.4,10.5,3.3,13.0,0.0,0.1,0.7,0.5,0.2,0.5,0.4,0.8,-1.0,0.5,-0.4,18.9,33.2
11010308,Zingster Straße Ost,"10,975  ",12.8,7.1,5.2,15.7,56.1,35.4,23.1,-1.3,0.9,-0.4,0.3,-0.2,14.2,-1.3,-0.2,5.0,12.4,15.4,5.8,16.1,10.4,33.5,0.2,0.2,1.2,0.8,0.3,0.4,0.2,0.7,0.1,-0.1,-0.1,18.1,40.0
11010309,Zingster Straße West,"9,525  ",14.5,8.2,6.2,18.9,52.3,30.1,28.0,1.1,6.3,-0.4,-0.4,-5.1,19.5,1.3,-0.3,6.2,16.3,12.9,8.1,16.2,13.4,27.5,0.1,0.1,1.0,3.6,0.3,0.3,0.2,0.6,0.3,-0.1,0.1,20.8,39.1
11010310,Mühlengrund,"5,089  ",9.6,7.5,3.9,11.9,48.5,17.6,21.2,-1.6,2.1,-0.9,22.1,-2.7,15.9,-1.9,-0.5,3.8,9.3,15.1,2.0,7.4,3.8,18.5,0.2,0.1,0.2,0.4,0.0,0.1,0.1,0.1,-0.7,0.5,-0.4,14.8,49.5
11020411,Malchower Weg,"7,379  ",5.0,3.7,1.5,4.9,15.5,19.1,27.4,0.3,2.1,-0.2,2.7,-1.0,28.8,-0.3,-0.3,4.3,11.7,18.9,6.2,11.7,7.8,24.6,0.2,1.0,1.1,0.7,0.2,0.4,0.2,0.7,-0.1,-0.2,-0.1,6.8,9.8
11020412,Hauptstraße,"6,026  ",9.1,4.5,3.8,12.5,38.3,25.4,25.8,1.8,1.8,-1.0,4.8,-2.3,14.5,1.6,-0.5,4.9,13.2,22.1,5.0,13.4,8.3,28.5,0.2,0.1,1.2,0.5,0.3,0.4,0.3,0.7,-0.5,0.1,-0.4,13.3,31.4
11020513,Orankesee,"3,328  ",3.5,3.4,0.8,3.0,6.3,8.9,23.7,1.3,7.3,-0.2,-2.1,-0.6,13.3,1.5,-1.2,5.5,13.6,19.4,1.8,7.6,2.0,10.4,0.0,0.0,0.3,0.0,0.3,0.5,0.1,0.7,-0.1,1.3,-0.3,4.7,5.0
11020514,Große-Leege-Straße,"7,674  ",8.4,4.2,3.5,8.5,23.0,17.2,32.0,1.4,-1.4,-0.1,1.7,-3.1,20.9,1.1,-0.3,4.8,10.2,18.5,7.3,11.7,11.0,22.9,0.3,1.9,1.2,0.1,0.3,1.0,0.5,1.3,-0.3,-1.3,-0.3,12.9,7.7
11020515,Landsberger Allee,"13,688  ",11.0,6.7,4.6,12.9,43.5,30.2,23.7,-0.4,0.8,-1.2,0.1,-0.8,20.0,-0.8,-0.6,4.5,13.4,20.6,6.6,16.2,10.7,33.9,0.1,0.2,1.6,0.5,0.4,0.6,0.2,1.0,-0.8,-0.7,-0.3,14.3,34.4
11020516,Weiße Taube,"3,712  ",5.1,4.2,1.3,4.5,13.1,15.4,24.6,-0.7,-4.2,-0.9,0.2,-4.3,20.0,-1.0,-0.9,5.1,12.8,19.7,3.0,9.2,2.5,16.3,0.0,0.1,0.4,0.1,0.2,0.8,0.4,0.9,-0.1,-0.3,-0.6,6.2,16.4
11030617,Hohenschönhausener Straße,"6,011  ",13.4,8.4,5.3,16.4,61.6,56.7,26.4,2.4,5.7,0.6,0.5,0.6,25.2,2.0,-0.5,4.9,11.7,28.1,12.3,24.9,29.0,50.0,0.8,2.0,2.9,2.3,0.6,0.9,0.6,1.5,0.6,-0.6,-0.3,15.5,37.7
11030618,Fennpfuhl West,"15,048  ",10.3,4.4,3.9,11.1,40.3,36.2,24.7,0.6,-0.5,-0.8,3.3,-5.0,19.2,0.5,-0.1,3.9,10.6,27.8,8.1,18.3,13.3,42.7,0.2,0.8,1.8,0.5,0.3,1.5,0.6,1.8,-0.3,-0.5,-0.4,12.8,27.4
11030619,Fennpfuhl Ost,"9,775  ",11.8,8.6,4.5,15.5,51.6,38.9,25.5,-1.3,2.5,-0.4,6.1,-1.4,18.5,-0.5,-0.3,4.3,11.7,27.7,8.0,20.6,13.2,38.9,0.3,0.3,1.4,0.6,0.6,0.6,0.3,1.2,-0.7,1.5,-0.4,16.4,35.2
11030720,Herzbergstraße,"2,893  ",8.1,4.8,3.2,10.2,47.8,43.0,80.3,-1.5,4.6,0.5,1.1,-3.1,49.4,5.7,0.3,4.0,9.2,7.3,44.7,51.2,22.6,43.6,0.6,1.0,4.8,2.7,6.1,20.2,13.0,26.2,1.1,0.8,0.2,20.7,5.0
11030721,Rüdigerstraße,"19,377  ",11.3,5.3,4.6,11.3,37.5,26.3,34.1,0.7,-6.2,-1.1,-0.8,-2.8,22.6,0.7,-0.2,5.0,10.9,17.7,7.1,13.9,9.4,24.2,0.2,0.3,0.9,0.7,0.9,1.7,1.0,2.5,-0.8,-1.9,-0.2,15.7,22.1
11030824,Frankfurter Allee Süd,"9,884  ",11.3,5.7,4.7,15.2,51.8,43.8,25.7,0.0,1.8,-0.3,3.0,0.6,19.3,-0.7,-0.3,4.8,13.9,21.4,14.4,28.4,15.9,46.2,0.5,0.7,2.1,3.0,0.7,2.1,0.8,2.8,0.4,1.2,-0.1,15.0,26.8
11040925,Victoriastadt,"3,113  ",9.9,6.0,4.3,11.9,25.3,17.3,41.8,0.9,-3.8,-2.4,-4.2,-8.8,20.9,0.4,-0.7,8.3,17.3,2.9,8.4,13.6,3.9,9.7,0.5,0.0,1.1,1.1,1.6,1.2,0.8,2.8,-2.0,0.7,-1.1,16.0,16.0
