NR,Ebene,Gebiet,Einwohner,Dynamik1,Dynamik2,Dynamik4,Dynamik5,Dynamik3,Dynamik6,Status1,Status2,Status3,Status5,Status6,,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11
2030402,Planungsraum,Wrangelkiez,"11,518",37.8,-0.4,-0.9,-0.9,-11.6,0.7,13.8,8.8,5.3,54.8,30.8,,15.1,6.5,35.2,18.4,0.9,0.3,2.2,6.4,2.5,1.9,40.1
2040501,Planungsraum,Barnimkiez,"5,528",19.5,1.2,-0.5,-1.4,0.5,3.8,12.7,8.7,5.3,52.4,12.6,,10.9,32.9,8,0.2,0.5,1.1,0.6,0.4,1,0.7,16.3
2040502,Planungsraum,Friedenstraße,"6,453",29.3,1.7,-0.1,1.5,0.8,3.1,10.9,7.6,3.5,41.1,8,,10.5,22,8.1,0.3,0.3,1.1,0.6,1.7,0.7,0.7,10.2
2040503,Planungsraum,Richard-Sorge-Viertel,"9,141",39.2,1.7,-0.6,1.6,-4.4,1.8,10.3,7.1,3.7,35.5,10.8,,11.3,16.2,9.5,0.4,0.2,0.5,0.8,2.6,1,0.6,12.5
2040701,Planungsraum,Andreasviertel,"11,373",27.5,1.7,-0.6,-0.8,3.2,7.3,11.9,5.9,4.6,53.4,23.7,,10.9,29.2,18.4,0.8,0.6,3.2,1.9,1.5,1.7,1.2,28.1
2040702,Planungsraum,Weberwiese,"9,770",35.2,2.1,-0.7,2.4,-7.4,1.6,9.6,5.8,3.3,25.9,5.7,,10.3,13.4,10.1,0.5,0.2,0.8,0.3,3.4,1.5,0.8,7.2
2040703,Planungsraum,Wriezener Bahnhof/Entwicklungsgebiet,392,75.9,13.7,-1.4,-0.6,22.2,23.4,14,0,5.4,59.6,20.3,,15.1,2.3,22.2,3.1,1.8,0.8,6.6,2.3,1,1,30.5
2050601,Planungsraum,Hausburgviertel,"7,985",46.3,2.6,-5.4,15.3,-8.1,1.7,11.3,7.2,3.9,37.7,11.1,,9.3,6.6,11.8,0.5,0.4,1.2,1.2,3.6,0.7,0.5,14
2050602,Planungsraum,Samariterviertel,"17,633",47.2,2.9,-0.7,-0.8,-8.2,-2.6,10.8,6.9,3.8,38.3,10.4,,11.7,5.4,12.6,0.5,0.4,0.9,1,4.4,1.4,1.1,11.9
2050801,Planungsraum,Traveplatz,"16,649",48.9,4,-1.0,0.2,-6.1,2.5,12,7.4,4,47.2,12.9,,11.8,5.3,13.6,0.4,0.4,0.9,1.6,4.2,1.1,0.8,16.1
2050802,Planungsraum,Boxhagener Platz,"18,061",49.1,2.5,-1.0,-0.6,-8.4,1.1,10,6.5,3.2,31.5,5.3,,9.7,4.2,12.5,0.5,0.1,0.6,0.4,5.5,1.5,1,6.1
2050803,Planungsraum,Stralauer Kiez,"6,031",44.9,2.5,-1.0,-1.2,-10.7,-3.9,12,7.1,3.9,46.6,15.5,,11.3,9.1,12.6,2.2,0.5,0.6,1.2,2.9,2.3,1.9,18.2
2050804,Planungsraum,Stralauer Halbinsel,"2,261",26.2,3.1,-0.2,-2.9,0,-3.2,5.8,0,2.3,11,3.1,,17.3,9.3,5.9,0.1,0.1,0.9,0.3,0.8,1.4,0.9,3.8
3010101,Planungsraum,Bucher Forst,"2,735",25.9,-2.3,-0.5,-1.4,0.8,1.1,13.8,14.6,5.9,17.2,2.9,,12.4,18.7,3,0.2,0.1,0.4,0.2,0.4,0.6,0.6,2.9
3010102,Planungsraum,Buch,"10,253",25.8,-1.6,0.5,2.0,-0.9,5,17.5,17,7,54.2,1.7,,14.6,22.9,3.3,0.1,0.2,0.7,0.1,0.3,0.6,0.5,1.9
3010104,Planungsraum,Lietzengraben,209,51.8,5.6,-0.1,-0.7,0,0,43.5,58.3,23.4,60,7.5,,19.1,4.3,7.7,1.4,0,3.3,0,1.4,1.4,1.4,7.5
3020203,Planungsraum,Blankenfelde,"1,919",13.7,2.1,-0.2,25.0,11.7,1.3,10,3.8,4.7,15.6,1.2,,13,22,0.8,0.2,0,0.2,0,0.2,0.2,0.2,1.2
3020209,Planungsraum,Niederschönhausen,"12,358",30.3,1.3,0.1,9.4,0.1,1.9,8.5,6.2,3.7,15.6,6,,17.3,15.9,5,0.2,0.3,0.7,0.1,1,0.7,0.6,6
3020210,Planungsraum,Herthaplatz,"9,348",28.5,1.7,-0.5,-0.2,-1.2,2.4,9.2,7.7,4,20.1,2.2,,16.8,15.2,3,0.3,0.1,0.6,0.1,0.5,0.6,0.4,2.8
3020307,Planungsraum,Buchholz,"15,726",24.9,1.1,-0.6,-0.2,3.9,0.9,10.9,7.8,4.9,29.8,2,,19.4,15.4,2.6,0.2,0,0.7,0.2,0.4,0.5,0.4,2.9
3030405,Planungsraum,Karow-Nord,"9,103",29.5,-0.3,-1.4,-2.7,7.8,4.5,11.9,10.8,4.7,32.4,3.1,,19.2,17.9,2.5,0.1,0,0.4,0.6,0.3,0.5,0.3,3.3
3030406,Planungsraum,Alt-Karow,"8,083",15,0.7,-0.7,1.5,1.2,0.6,5.4,2.6,2.2,6.5,0.4,,17.1,16.3,1.7,0,0,0.3,0,0.4,0.5,0.3,0.4
3030711,Planungsraum,Blankenburg,"6,555",14.2,0.9,-0.5,0.6,3.7,-0.4,5.9,3.6,2.4,7.3,1,,15.2,18.2,1.1,0,0,0.1,0,0.4,0.2,0.1,1
3030715,Planungsraum,Heinersdorf,"6,417",15.9,1.5,-0.8,-0.1,4.9,-1.1,7.7,5.9,3.5,8.9,0.9,,15,16.6,1.8,0.2,0.1,0.1,0,0.7,0.2,0.1,1.2
3030716,Planungsraum,Märchenland,"1,180",10.4,-1,-0.3,2.3,3.8,-10.2,8,6.1,3.2,2.4,0,,9.3,29.2,0.5,0,0,0.3,0,0.3,0,0,0
3040508,Planungsraum,Rosenthal,"4,176",21.5,2.3,-0.1,0.0,9.1,1.2,9.1,7.2,4.2,21.2,3.8,,22.2,14.8,3.8,1.3,0,0.7,0.4,0.5,0.5,0.4,5.1
3040512,Planungsraum,Wilhelmsruh,"9,069",25.5,1.2,-1.6,-8.8,1.9,2.6,9.2,10,3.9,19.1,2.2,,15.8,20,3.3,0.5,0.2,0.4,0.2,0.6,0.7,0.5,3
3040513,Planungsraum,Schönholz,"2,946",16.2,0.9,-0.3,-2.8,2.3,-1.4,7.3,4.3,3.9,10.3,2.3,,17.6,20.2,4,0.9,0.3,0.5,0,1,0.2,0.2,2.9
3040614,Planungsraum,Pankow-Zentrum,"30,954",29,1.2,-0.2,4.4,1.4,0.1,12.3,11.7,5,25.2,2.1,,15.4,21.3,4.4,0.2,0.2,0.6,0.2,1,1,0.8,2.6
3040818,Planungsraum,Pankow-Süd,"31,113",28.4,0.7,-0.7,-2.2,-3.9,1.5,12.8,11.3,5.4,33.9,3.2,,12.4,19.6,4.9,0.3,0.3,0.6,0.3,1,0.9,0.5,3.8
3050919,Planungsraum,Gustav-Adolf-Straße,"4,443",21.1,-1.2,-0.7,-0.7,1.8,-0.1,17.2,14.6,7,27.6,1.5,,10.5,25.6,2,0.3,0,0.2,0,0.4,0.5,0.5,1.5
3050920,Planungsraum,Weißer See,"5,755",26.4,2.9,-0.5,-11.8,1.9,3.1,11.1,11.6,4.6,21.5,3.4,,12.3,24.9,3.4,0.1,0.1,0.5,0.2,0.8,0.8,0.6,3.8
3050923,Planungsraum,Weißenseer Spitze,"7,468",39.4,1.5,0.0,0.1,-5.5,1.9,17.4,15.2,7.3,35.5,5.7,,13.5,12,6,0.2,0.2,0.6,0.7,0.7,1.6,1.2,6.9
3050924,Planungsraum,Behaimstraße,"4,937",41.2,3,-2.0,-1.7,0.3,-0.7,16,16.1,6.6,32.6,5.6,,14.8,10.5,7.9,0.5,0.4,0.6,0.6,2,1.6,1.4,6
3050925,Planungsraum,Komponistenviertel Weißensee,"7,545",36.4,2.2,-0.3,2.6,4.1,-1.7,13.7,11.1,6.4,27.8,5.8,,17,17.1,5.2,0.4,0.1,0.8,0.3,0.5,1,0.8,6
3051017,Planungsraum,Rennbahnstraße,"3,846",41.6,2.7,-0.7,-1.9,1.5,5.1,11.7,13.3,5.5,32.4,4.7,,15,12.2,5.6,0.2,0.1,0.8,0.2,0.4,2.5,2.3,5.7
3051021,Planungsraum,Buschallee,"6,122",25.6,0.7,-0.2,-3.6,2.9,3.8,16.6,13.5,7.5,41.4,2.7,,9.1,31.8,3.9,0,0.1,0.9,0.1,0.8,0.7,0.5,2.7
3051022,Planungsraum,Hansastraße,"4,442",21.5,1,-0.8,-3.6,8.4,2.5,11.6,11.9,5.3,32.6,2.2,,15.2,23.3,2.2,0.3,0.1,0.1,0.2,0.4,0.8,0.5,2.2
3061126,Planungsraum,Arnimplatz,"13,639",39.9,1.8,-1.3,-2.4,-3.9,-1.4,12.7,9,5.3,29.9,5,,10.6,8.2,11.6,0.3,0.4,0.9,0.4,4.6,1.2,0.9,6.5
3061131,Planungsraum,Falkplatz,"9,594",40.7,1.9,-0.8,-0.9,-3.8,-0.5,11.1,7.7,4.6,24.3,3.4,,10,5,15.7,0.1,0.2,1.1,0.4,7.9,1.7,1.2,4.4
3061227,Planungsraum,Humannplatz,"13,492",35.8,1.9,-1.5,-0.7,-3.6,0.3,10.8,8.4,4.1,30.3,4.8,,10,12.8,10.4,0.2,0.3,0.8,0.3,3.7,1.1,0.9,5.5
3061228,Planungsraum,Erich-Weinert-Straße,"11,719",33.5,1.8,-0.9,-1.4,-7.8,-2.9,16.5,11.2,7.3,41.6,7.1,,9.1,19.5,7,0.4,0.2,0.6,0.3,2.2,0.7,0.5,8.5
3061332,Planungsraum,Helmholtzplatz,"20,354",40.7,1.8,-1.1,-3.2,-3.4,-3.2,10.7,6.9,4.4,25.2,4.2,,13.3,4,14.9,0.3,0.3,0.7,0.4,7.3,1.1,0.6,4.9
3061429,Planungsraum,Greifswalder Straße,"10,132",16,-0.2,-1.2,-1.1,1.5,-1.3,16.4,14.5,7.4,44.6,3.3,,9.1,36.8,3,0.1,0.2,0.3,0.2,0.7,0.5,0.4,3.6
3061430,Planungsraum,Volkspark Prenzlauer Berg,"2,893",18.7,3,-0.2,2.4,10.8,-0.7,15.1,6.6,8.3,38.5,3.3,,10.5,32.5,5.8,0.3,0.2,0.7,0.6,1.1,0.4,0.1,4.3
3061434,Planungsraum,Anton-Saefkow-Park,"5,145",39.9,-6.4,0.7,0.6,-14.8,2.3,17.4,11.8,7.3,43.2,6.7,,9.9,11,8.8,0.3,0.1,0.5,0.2,3,1.3,0.5,7.2
3061435,Planungsraum,Conrad-Blenkle-Straße,"3,816",35.3,-0.4,-2.4,-5.1,-10.4,2,18,13.9,7.4,52.3,12.1,,12.9,15.1,10.3,0.2,0.4,0.8,0.9,2.9,0.7,0.3,12.8
3061441,Planungsraum,Eldenaer Straße,434,9.4,1.4,-2.1,-4.1,0,11.1,8.1,0,1.8,16.7,0,,18.9,15.4,3.5,0,0,0.7,0,0,0.7,0.7,0
3071536,Planungsraum,Teutoburger Platz,"9,510",40.2,1.5,-0.8,0.0,-9.8,0.5,9.2,4.5,3.5,21.7,5.9,,13,4.5,17.4,0.3,0.2,1.1,0.5,8.2,1.3,0.9,6.2
3071537,Planungsraum,Kollwitzplatz,"13,775",37.2,0.9,-1.3,-1.1,-3.3,-2.9,8.6,6.4,3.3,19.3,5.4,,14.6,4.8,16,0.2,0.3,1.4,0.1,7.4,1.1,0.7,6.5
3071633,Planungsraum,Thälmannpark,"2,565",21.8,0.3,-1.1,-0.4,13.5,-3.1,18.2,18.7,7.3,52.2,6.9,,14.1,20.1,6,0.5,0,0.4,0.9,1,0.5,0.2,6.9
3071638,Planungsraum,Winsstraße,"15,013",40.6,2.3,-1.0,-0.9,0.4,-1.4,10.2,8.4,4.1,23,6,,14.2,7.1,13.9,0.2,0.2,1.2,0.4,5.8,1.1,0.8,7.5
3071639,Planungsraum,Bötzowstraße,"11,278",37.5,2.2,-1.6,-2.0,-3,0.7,9.8,6.6,3.7,21.1,5.7,,14.2,7.9,13.1,0.5,0.2,0.6,0.6,6,1.4,1,6.7
4010101,Planungsraum,Jungfernheide,"9,447",24.1,-0.1,-1.4,-0.7,-4.1,2.2,19.1,12.2,9.7,45.3,9.7,,11.4,27.2,13.3,3.1,0.5,0.9,1.8,1.7,2.3,1.9,14.1
4010102,Planungsraum,Plötzensee,739,36.9,-4.9,0.2,-2.3,-31.6,4.9,10.6,0,4.3,19.6,17.2,,7.8,23.1,10.7,0,2.4,0,0,2.4,1.2,0.8,17.2
4010103,Planungsraum,Paul-Hertz-Siedlung,"7,058",18.2,-0.4,-2.8,-1.6,2.6,5.1,22,12.6,10.4,57.4,15.1,,16.3,27.1,15.5,4.8,0.9,2.9,1.5,1,2.4,2.3,21.4
4020204,Planungsraum,Olympiagelände,126,14.5,4.8,-0.4,-1.0,0,0,0,0,0,0,10.3,,23,12.7,16.7,0,0,2.4,2.4,2.4,4.8,2.4,10.3
4020205,Planungsraum,Siedlung Ruhleben,"1,282",19.3,-0.9,0.0,0.0,-5.2,1.5,6,0,2.4,9.1,8,,15.6,21.7,11.2,0.7,0.5,0.2,1.7,2.8,2.1,1.6,8
4020206,Planungsraum,Angerburger Allee,"2,248",26.3,11.1,-0.8,1.3,24,-9.2,8.8,0,4.2,17.8,9,,5.9,43.2,7,0.3,0.5,0.5,0.6,2.4,0.5,0.4,9
4020207,Planungsraum,Flatowallee,"2,511",23.5,3.1,-0.6,-1.6,3.2,2.3,5.7,2.7,1.7,7.1,6.1,,13.8,24.6,11.1,0.9,0.6,0.6,0.7,3.9,1,0.8,6.9
4020208,Planungsraum,Kranzallee,"2,778",25.1,0.8,-1.2,-0.4,4.9,-0.1,5.3,0,2,2.6,5.4,,17.9,24.7,10.1,0.5,0.2,0.4,0.2,5.3,1.3,1,5.4
4020209,Planungsraum,Eichkamp,"3,164",34.1,1.2,-0.7,-1.4,21.3,-0.6,2.6,0.7,0.9,1.4,6.3,,16,17.4,25.8,0.5,1.6,2.5,0.2,8,3,2.2,6.9
4020310,Planungsraum,Park Ruhwald,718,41.9,-2.7,-0.6,0.3,0,-9.6,6.7,0,3.3,17.5,56.5,,9.6,15.6,32.6,1.7,4.2,2.1,0.8,1.3,3.6,2.6,60.9
4020311,Planungsraum,Reichsstraße,"13,533",22.3,0.3,-1.1,-0.8,2.1,1.2,8.7,5.6,3.7,12.7,8.9,,11.8,27.5,11.8,1.2,0.5,1.2,0.7,3.1,1.5,1,11.8
4020312,Planungsraum,Branitzer Platz,"4,698",25,3.2,-0.5,0.3,6.8,-2.8,8,7.9,3.2,12.3,8.1,,11.3,28.1,12.1,0.5,0.4,1.3,0.5,3.8,1.5,0.9,10.3
4020313,Planungsraum,Königin-Elisabeth-Straße,"6,447",24.1,1.2,-0.9,-2.9,-2.9,-0.2,11.5,6.6,4.8,25.9,9.9,,11.1,21.4,13.9,1.8,0.9,1,1.5,3.4,2.1,1.7,12
4020314,Planungsraum,Messegelände,9,0,0,-0.6,-0.6,0,0,0,0,0,0,0,,0,33.3,100,0,0,0,0,66.7,33.3,33.3,0
4030415,Planungsraum,Schloßgarten,"2,339",40.1,3.9,0.0,0.0,9,1.9,11.7,5.3,5.3,56,21.2,,8.7,23.9,35,2.6,4,3.7,2.4,5.8,6.8,5.3,35
4030416,Planungsraum,Klausenerplatz,"9,887",25.4,0,1.7,1.6,-1.3,1.5,16.3,9,8,43.2,18.1,,17.4,10.6,27.7,10.6,1.3,2.3,2,3.9,2.6,2,22.9
4030417,Planungsraum,Schloßstraße,"9,920",26,0.8,-1.3,-1.7,-3.2,2.5,11.5,6.8,5.3,29.1,11.8,,13.4,15.2,18.4,2.8,0.8,1.8,2.5,4.2,1.9,1.3,16.8
4030518,Planungsraum,Tegeler Weg,"8,852",26.8,-0.3,-0.9,-1.7,-2.3,5.3,16.3,10.5,7.8,42.5,14.2,,11.6,14.9,20.9,5.2,1.2,0.9,1.9,3.4,2.1,1.8,19.2
4030519,Planungsraum,Kaiserin-Augusta-Allee,"4,954",35.2,1.7,-1.3,-0.2,-3.2,2.4,16.8,10.4,7.4,43.5,19.2,,12.5,12.7,22.5,4.8,1.7,0.5,2.6,4.4,2.9,2.2,24.4
4030620,Planungsraum,Alt-Lietzow,"8,235",28.8,1.2,-1.2,0.6,-5.1,5.5,14.7,9.4,6.4,45.3,15.7,,12.3,19.8,21.1,3.1,1.1,3,1.9,4,2.5,2.1,19.4
4030621,Planungsraum,Spreestadt,"2,752",32.4,-0.8,-0.8,-2.1,-4.9,4.7,17.1,11.4,7.8,52,23.7,,14.7,8.4,29.8,5,2.1,4.1,3.9,5.6,3.5,2.7,31.9
4030622,Planungsraum,Richard-Wagner-Straße,"9,709",27.7,0.6,-1.6,1.1,0.5,1.8,14.4,11,6.8,42.5,23.5,,12.9,16.7,23.9,4.5,1.8,2,2.8,4.4,2.4,1.9,30.3
4030623,Planungsraum,Ernst-Reuter-Platz,"4,169",29.6,0.9,-0.7,-0.8,2.1,5.2,13.7,7.7,5.7,44.8,19.5,,12.5,17.7,30.6,3.8,1.8,6.5,1.6,5.9,3,2.1,29.1
4030724,Planungsraum,Lietzensee,"6,265",24.3,-0.5,-0.8,-1.3,-4.8,2.6,10.5,8.1,4.5,27.8,11.2,,13.9,20.5,17.5,2,1.4,1.9,1.2,4.1,2.4,1.9,12.9
4030725,Planungsraum,Amtsgerichtsplatz,"11,184",30.1,0.7,0.5,-0.2,0.2,2.9,10.3,5.7,4.5,20.5,11.8,,13.3,12.8,20.9,1.6,1.2,1.7,2.3,6.1,2.5,2,13.6
4030726,Planungsraum,Droysenstraße,"5,150",28.7,-0.1,-0.7,-0.3,-8,2.8,10.3,5,4.8,27.8,18.4,,11.6,17,24.2,1.5,1.4,3.1,1.3,6.3,3.5,3,22
4030827,Planungsraum,Karl-August-Platz,"10,605",32.9,0.3,0.4,-0.6,-2.9,3.2,13.4,8,6.9,38.6,20.8,,13.2,13.3,29.3,4.3,2,2.3,3.8,6.3,3,2.3,27.2
4030828,Planungsraum,Savignyplatz,"9,190",27.7,0.7,-1.3,-1.5,-5.6,1.2,9.6,5.8,4.4,25.8,14.9,,11.2,13.8,24.5,2.1,1.3,1.4,2.1,7.3,2.1,1.8,19.7
4030929,Planungsraum,Hindemithplatz,"5,978",32,0.9,-0.4,-0.8,-1.6,-4.3,11.8,8.7,4.9,17.3,13.7,,12.3,15.5,22.2,1.5,1,2.1,2.2,6.9,2.3,2.1,16.7
4030930,Planungsraum,George-Grosz-Platz,"5,436",25.9,-0.4,-1.5,-1.2,-5.4,-0.4,7.7,5.2,3.3,19.3,17.3,,10.6,15.8,24.2,1.8,1.2,1.5,1.9,8.6,2.5,1.9,19.6
4030931,Planungsraum,Breitscheidplatz,"3,341",27,-0.2,-0.4,0.0,-16.4,9.1,9.4,6.2,4.3,25.1,15.7,,7.6,20.4,28.3,1.6,1.3,2.5,2.7,7.2,2.8,2.3,22.4
4031032,Planungsraum,Halensee,"13,962",25.7,0.7,0.0,0.2,-2.4,1.9,10.8,6.1,4.7,20.3,13.5,,11.2,19.1,18.6,1.2,0.9,2.1,1.8,4.8,2.4,1.7,16.5
4041133,Planungsraum,Güterbahnhof Grunewald,53,9.5,-3.2,-0.6,0.0,0,0,0,0,0,0,0,,5.7,24.5,5.7,0,0,0,0,5.7,0,0,0
4041134,Planungsraum,Bismarckallee,"4,723",29,1.9,0.0,0.0,1,1,6.3,3.8,2.3,7.3,12.8,,11.9,28.4,18.2,0.8,0.6,2.3,0.6,5.6,2.3,1.8,16
4041135,Planungsraum,Hundekehle,"2,753",21.6,4.9,-0.1,-1.9,16.5,-0.1,3.8,0,1.6,1.4,16,,12.9,29.5,16,0.9,0.3,2.7,0.7,4,1.1,0.8,16.9
4041136,Planungsraum,Hagenplatz,"2,875",26.4,1,0.2,-0.4,5.4,0,4.5,4.2,2,4.5,11.9,,12,28.5,14.5,0.8,0.4,1.7,0.6,4.1,1.4,1.2,12.8
4041137,Planungsraum,Flinsberger Platz,"7,644",21.2,0.6,0.0,-0.5,-5.8,0.8,10.3,9.8,4.8,18.9,12.7,,12.4,25.3,13.5,1,1.1,2,1.3,2.2,2.1,1.5,14.5
4041238,Planungsraum,Kissinger Straße,"5,098",19.6,0,-0.5,0.0,5,3,9.3,6.4,4.4,20.4,8.9,,14.3,27.2,10.7,1.1,0.1,1.5,0.7,2.1,1.5,1.4,12
4041239,Planungsraum,Stadion Wilmersdorf,143,39.8,-11.4,-0.5,-0.1,-16.7,-17.8,19.6,0,12,28,28,,17.5,6.3,31.5,7,2.1,7,0,2.1,4.2,4.2,28
4041240,Planungsraum,Messelpark,"1,566",18,0.8,-0.9,15.0,11.7,1.5,4.7,0,2.3,2.6,16.1,,14.2,28.9,10.9,0.2,0,1.3,0.8,3.1,0.4,0.4,17.5
4041241,Planungsraum,Breite Straße,"6,328",21.1,1.4,-1.1,-1.8,1.7,1.8,8.5,2.9,3.7,11.6,5.1,,12.3,27.3,8.3,0.4,0.3,1.2,0.8,2.3,0.8,0.6,5.9
4041342,Planungsraum,Schlangenbader Straße,"3,980",22.3,1.3,-1.0,-0.1,3.1,10.1,13.5,7.9,7.2,38.3,7.3,,8.9,26.1,14.5,1.4,0.4,2,1.4,2.3,3,2.9,9
4041343,Planungsraum,Binger Straße,"3,472",19.8,-1.1,0.2,-3.4,-4.6,0,9.7,4.4,4.7,13.8,6.2,,13,21.6,12,1.2,0.3,2,1,1.9,1.9,1.5,8.2
4041344,Planungsraum,Rüdesheimer Platz,"10,392",22.5,0.9,0.2,-1.9,2.9,-1.3,9.5,6.1,4,17.6,11.2,,14.1,22.6,13.8,0.8,0.9,1.4,0.9,3,1.3,0.9,12.4
4051445,Planungsraum,Eisenzahnstraße,"5,590",25.5,-0.1,-0.7,-1.5,-7.5,6,11.3,6.5,4.9,30.8,11.2,,11.5,20.6,16.4,1.3,0.8,1.5,2.4,2.9,2.1,1.8,15.1
4051446,Planungsraum,Preußenpark,"9,837",24.5,0.1,0.2,-0.2,0.5,-0.7,9.6,5.2,4.2,18,14.3,,11.3,20.5,18.5,0.8,0.7,2.7,1.4,5.2,2.3,1.8,16.7
4051447,Planungsraum,Ludwigkirchplatz,"4,930",30.2,1,-0.4,-1.0,0.4,4,11.3,5.4,4.9,23.8,14.9,,12,19.5,20.7,0.9,1.4,2.1,1.8,5.2,2.5,1.5,18.4
4051448,Planungsraum,Schaperstraße,"8,579",27.7,1.1,-0.6,0.3,-4.3,2,10.5,7.9,4.4,24.2,14.1,,9.5,22.4,20.9,2.4,1,2.4,1.8,5.1,1.8,1.4,18.5
4051549,Planungsraum,Rathaus Wilmersdorf,"3,918",30.3,-0.5,-0.8,-1.7,-5.5,0.3,12,8.1,5.2,22.7,25,,13.5,17.7,18.5,2.5,1.6,1.6,3.1,4.5,1,0.9,29.8
4051550,Planungsraum,Leon-Jessel-Platz,"5,123",26,-0.3,-0.4,0.3,1.9,0.2,10.2,7.6,4.9,21.4,11.8,,13.6,13,18.2,2.4,1.2,1.1,2.3,4.1,2,1.6,15.8
4051551,Planungsraum,Brabanter Platz,"3,989",25.5,0.3,-1.1,-2.3,2.4,5.1,11.8,6.2,5.6,25.9,8.4,,14.7,15.5,16.5,1.8,0.4,1.9,2.9,4.2,1.8,1.7,13.1
4051652,Planungsraum,Nikolsburger Platz,"9,174",24.9,0.8,0.9,-1.2,0.5,0.5,9.8,6,4.7,17.7,9.5,,12.1,19.3,17.4,0.9,1.2,2.3,1.2,4.2,1.8,1.4,11.8
4051653,Planungsraum,Prager Platz,"6,332",25.3,1.5,-0.6,-2.1,-0.9,2.2,10,5.2,4.2,22.9,13.9,,10.9,20.3,17.9,2.4,1,1.5,2.6,3.9,2.1,1.8,19.6
4051654,Planungsraum,Wilhelmsaue,"2,792",24.6,-0.4,-0.4,-0.6,-10.2,2.2,12.2,6.2,5.8,22.1,16.5,,9.7,25.7,16.5,1.9,0.9,3,1.7,3.2,1.6,1,22.1
4051655,Planungsraum,Babelsberger Straße,"6,258",27.3,-0.9,0.3,0.2,-5.6,4.1,11.7,10,5.3,31.9,16,,13.3,18.2,19.1,2.2,1.1,2.7,2.3,3.2,2.3,2.1,21.9
4051656,Planungsraum,Hildegardstraße,"7,112",24.3,0.3,-0.7,-0.4,-0.3,2.3,10.2,7.2,4.5,19.2,9.4,,15.3,14.1,13.2,1.4,1.1,0.9,1.2,3.1,1.8,1.2,10.8
4061757,Planungsraum,Forst Grunewald,81,23.5,3.7,-1.1,-1.4,0,0,0,0,0,0,0,,23.5,14.8,0,0,0,0,0,0,0,0,0
5010101,Planungsraum,Hakenfelde Nord,"9,540",31.8,2.3,0.0,0.0,2.3,3.3,12,5.2,5.2,39.1,11.7,,17.2,22.8,10.4,2.1,2.1,0.9,0.9,1.2,1.7,1.5,14.6
5010102,Planungsraum,Goltzstraße,"5,717",22.8,0.6,-1.1,-1.8,2.1,4.9,14,6.8,6.4,38.8,4.9,,10.8,26.8,7.4,1.2,0.3,0.3,1,1.9,1.5,1.2,7
5010103,Planungsraum,Amorbacher Weg,"7,248",22.8,1.2,-0.7,4.5,5.3,2.9,10.9,5.6,4.8,18.3,3,,15.1,22,5.2,0.9,0.3,0.2,0.6,1.2,1.1,0.9,4.5
5010204,Planungsraum,Griesingerstr.,"2,880",28.4,0.9,-0.2,4.9,3.6,9.7,19.2,5.5,9.8,69.9,8.4,,16.5,27.8,8.7,2,0.7,2.9,0.6,0.5,1.5,1,9.7
5010205,Planungsraum,An der Tränke,"1,928",15.1,3.4,0.6,-7.3,12.7,1.9,4.5,0,1.8,6.6,5.8,,27.7,6,7.2,1.6,0,1.5,1.1,1.3,0.6,0.2,6.4
5010206,Planungsraum,Gütersloher Weg,"9,469",21.7,-2.4,-0.1,-0.6,-1.7,3.9,16.8,7.7,8,45.2,6.3,,15.5,25.5,7.9,3.1,0.2,1.2,0.6,0.8,1.2,1.1,8
5010207,Planungsraum,Darbystr.,"10,839",20.2,0.1,0.8,1.9,6.8,5.3,21,7.4,10,60,9.9,,17.9,23.6,12.9,5.8,0.6,2.5,1,0.8,1.5,1.4,15.4
5010208,Planungsraum,Germersheimer Platz,"7,153",27.2,0.4,0.0,2.3,-8,3.2,18.6,9.2,8.4,57.6,8.8,,14.1,20.5,11.3,4.7,0.7,0.3,1.6,1.2,1.8,1.5,13
5010209,Planungsraum,An der Kappe,"6,071",18.2,0.7,0.2,1.4,0.4,2.8,9.2,4.1,3.9,22.9,6.7,,15.3,21.5,6.9,2.1,0.2,0.1,1,1.1,1,0.9,8.9
5010310,Planungsraum,Eckschanze,"3,464",32.3,1.5,-0.7,1.8,-4.8,7.7,16.9,6,7.8,49.2,9.7,,13.1,19.9,10.2,3.5,0.6,0.4,1.6,0.9,1.2,1.1,13.2
5010311,Planungsraum,Eiswerder,"4,682",33.2,3.9,-0.2,1.0,-6.4,7.9,22.3,9.8,11.4,74.9,26.2,,19.1,26.7,23.4,12.6,2,2.5,1.8,1,1.4,1.4,37.4
5010312,Planungsraum,Kurstr.,"5,895",37.4,-1.5,-0.1,-1.6,-2.8,5,22,6.9,11,65.4,21.3,,18.7,12.8,25.6,11.7,1.5,0.7,4.3,1.6,3.1,2.7,27.2
5010313,Planungsraum,Ackerstr.,"6,061",33.6,0.6,-0.6,3.1,5.3,0.3,17.7,8.9,8,45.7,12.5,,17.5,13,15.3,4.3,1,0.8,3.5,2,2.2,1.2,16.4
5010314,Planungsraum,Carl-Schurz-Str.,"11,059",25.6,-0.9,0.4,1.4,-2.9,1.3,17.4,9.7,8.4,44.1,9.3,,14.8,19,13.7,4.3,0.6,0.7,2.7,1.7,1.8,1.6,12.6
5010339,Planungsraum,Freiheit,431,27.6,-2.3,0.2,-0.6,-25,12,17,15,5.9,30.4,5.8,,12.1,13,14.4,2.1,0,1.4,3.7,2.8,3.7,3,11.5
