NR,Ebene,Gebiet,Einwohner,Dynamik1,Dynamik2,Dynamik4,Dynamik5,Dynamik3,Dynamik6,Status1,Status2,Status3,Status5,Status6,,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11
12103015,Planungsraum,Breitkopfbecken,"7,095",27.8,-1.4,-0.7,-0.8,-10.1,2.1,16.1,11.5,6.1,51.9,14.3,,13.4,21.8,15.2,5.9,1.4,0.9,1.8,0.8,1.6,1.3,20.9
12103016,Planungsraum,Hausotterplatz,"8,513",30.2,-0.7,0.2,2.6,-1.3,6.3,16.6,12.7,6.6,52.5,16.8,,17.2,16.7,17.5,6.6,1.3,0.5,3.3,1.2,2.2,2,22.8
12103017,Planungsraum,Letteplatz,"9,072",32.2,-0.7,-0.3,1.0,-2.7,4.1,17.6,16.2,6.9,57.1,16.5,,15.8,17.6,17.8,6,1.7,0.6,3.4,1.5,2.2,2,23.2
12103018,Planungsraum,Teichstraße,"11,966",27.6,-0.8,-0.3,-0.1,-7.7,2.3,15.3,13.5,6.1,44.7,15.9,,16.2,22,13.8,5.5,1.1,0.2,1.7,1,2.1,1.9,20.9
12103019,Planungsraum,Schäfersee,"7,920",29.1,2.1,-0.4,1.0,4,9,14.6,13.6,5.5,47.5,12,,12.5,26,12.9,4.2,1.3,0.6,2.2,2,1.4,1.2,18.7
12103020,Planungsraum,Humboldtstraße,"4,396",23.5,0.2,0.6,1.6,-10.7,2,13.2,7.1,5.4,33.7,7.9,,11.3,26.3,8.9,2.3,0.4,0.3,2.2,0.6,1,1,11.1
12214121,Planungsraum,Reinickes Hof,"2,053",23.9,-2.4,-0.2,-6.4,-14.7,-10.6,15.3,5.6,6.8,40.7,8.6,,11.9,23.8,8.4,1.5,0.6,0.1,0.8,2,1.7,1.4,15.1
12214122,Planungsraum,Klixstr.,"7,287",30.6,-1.1,0.1,-0.1,-2,8.1,20,14.3,8.6,68.6,20.2,,19.9,17.4,20.6,7.1,2.6,2.6,2.9,2.1,1.8,1.5,27.6
12214123,Planungsraum,Mellerbogen,"5,345",20.6,0.1,-2.3,0.6,4.9,4,13,11.1,5.4,45.2,10.2,,12.9,26.3,11,3.9,0.4,0.6,1.8,1.1,1.7,1.5,16
12214124,Planungsraum,Scharnweberstr.,"9,255",31.2,-1,0.8,-1.1,-3.4,7.7,17.9,13.5,6.8,56.4,20.2,,14.9,17.8,18.1,6,1.9,0.6,2.9,1.6,2.2,2,27.7
12214125,Planungsraum,Waldidyll/Flughafensee,"6,137",20.4,-1,0.3,0.4,-5.2,1,7.7,6,2.7,13,7.5,,14.3,19.1,7.6,1.8,0.2,0.4,1.1,2.3,0.5,0.4,9
12214126,Planungsraum,Tegel-Süd,"7,462",22.6,-0.9,0.0,2.2,2.3,4.1,17.4,12.4,7.6,52.9,10.2,,15.5,22.5,11,3.4,0.3,1.4,1.6,1.3,1.7,1.5,15.9
12214127,Planungsraum,Alt-Tegel,"9,896",24.2,-0.6,-0.1,-3.0,-5.4,3.2,9,7.4,3.3,20.4,6.6,,13.1,22.2,9,2.6,0.2,0.3,1.2,1.6,1.2,1,9.5
