Nummer,Name,EW 31.12.2014,Status-Index                    (Klasse),,Dynamik-Index             (Klasse),,Status/Dynamik-Index                                                    (Gruppe),,S1,S2,S3,S4,D1,D2,D3,D4,S4 new,EW 31.12. 2014,zS1,zS2,zS3,zS4,Status-summe,Status-Index (standardisierte Statussumme),Zuordnung Klasse Status-Index ,zD1,zD2,zD3,zD4,Dynamik-summe,Dynamik-Index (standardisierte Dynamik-summe),Zuordnung Klasse Dynamik-Index ,K 01,K 02,K 03,K04,K 05,K16,K 06,K 17,K 07,K 08,K 14,K 15,K 09,K 10,K 11,K 12,K 13
01011303,Alexanderplatzviertel,"8,608",2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",6.36,1.75,9.10,22.13,-0.64,-0.26,-0.26,-1.61,23.74,"8,608",-0.31,-0.57,-0.36,-0.31,-1.55,-0.40,mittel,0.04,0.12,-0.09,-0.19,-0.12,-0.04,stabil,1.71,33.28,5.01,61.78,36.95,25.79,4.09,52.79,11.91,47.19,2.02,39.87,18.12,56.22,35.10,2.63,-3.13
01011304,Karl-Marx-Allee,"8,424",2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",7.61,2.57,12.84,39.90,0.05,0.05,0.45,-0.05,39.95,"8,424",0.06,0.12,0.08,0.57,0.83,0.22,mittel,0.72,0.74,0.58,0.33,2.38,0.88,stabil,2.14,34.09,2.16,68.79,30.71,18.74,1.87,68.40,32.07,45.78,1.96,36.12,0.00,70.24,20.12,1.39,2.47
01011305,Heine-Viertel West,"7,075",2,mittel,+,positiv,2+,"Status mittel, Dynamik positiv",4.85,1.27,7.56,25.32,-1.44,-0.56,-0.37,-5.99,31.31,"7,075",-0.77,-0.97,-0.53,-0.15,-2.42,-0.63,mittel,-0.74,-0.50,-0.19,-1.66,-3.09,-1.14,positiv,4.18,27.08,1.88,59.58,29.31,18.71,2.90,63.75,14.34,10.30,2.04,38.38,1.19,59.28,32.86,5.58,10.18
01011306,Heine-Viertel Ost,"8,616",2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",6.53,1.61,8.72,27.61,-0.61,-0.75,0.38,2.47,25.13,"8,616",-0.26,-0.68,-0.40,-0.04,-1.38,-0.36,mittel,0.07,-0.88,0.52,1.18,0.88,0.32,stabil,3.01,24.84,2.21,60.04,33.17,20.74,2.31,60.55,17.27,12.84,1.82,36.41,23.42,54.76,35.27,3.89,-1.55
01011401,Invalidenstraße,"15,235",1,hoch,+/-,stabil,1+/-,"Status hoch, Dynamik stabil",4.35,0.91,5.19,8.44,-0.63,-0.26,-0.25,-0.52,8.96,"15,235",-0.92,-1.27,-0.81,-0.99,-3.98,-1.03,hoch,0.05,0.12,-0.08,0.17,0.27,0.10,stabil,0.83,25.68,5.72,46.25,35.75,25.80,5.92,48.23,5.53,3.72,1.80,41.54,62.65,46.95,42.67,2.96,-2.19
01011402,Arkonaplatz,"12,666",1,hoch,+/-,stabil,1+/-,"Status hoch, Dynamik stabil",4.46,0.82,3.93,5.09,-0.17,-0.27,-0.48,-1.16,6.25,"12,666",-0.88,-1.35,-0.95,-1.16,-4.34,-1.12,hoch,0.50,0.09,-0.29,-0.04,0.26,0.10,stabil,1.08,25.43,5.83,38.62,32.38,22.19,1.54,37.46,4.34,3.28,1.87,41.46,41.22,47.34,37.48,1.54,-5.97
01022101,Huttenkiez,"3,390",3,niedrig,+/-,stabil,3+/-,"Status niedrig, Dynamik stabil",11.28,3.97,23.33,64.31,-1.35,0.03,0.23,-6.75,71.05,"3,390",1.16,1.29,1.29,1.79,5.52,1.43,niedrig,-0.66,0.70,0.37,-1.91,-1.50,-0.55,stabil,4.27,32.37,17.15,79.19,49.79,34.13,3.61,45.29,35.23,1.62,1.57,35.15,100.00,47.02,41.66,2.90,5.98
01022102,Beusselkiez,"6,255",3,niedrig,+,positiv,3+,"Status niedrig, Dynamik positiv",11.68,3.70,24.88,59.95,-1.88,-0.85,-1.44,-0.05,60.00,"6,255",1.28,1.07,1.47,1.57,5.39,1.39,niedrig,-1.18,-1.08,-1.18,0.33,-3.11,-1.15,positiv,3.84,30.61,18.26,82.47,56.67,38.99,2.78,59.37,35.10,4.65,1.57,33.08,100.00,48.04,39.15,2.76,-6.46
01022103,Westhafen,253,0,,0,,0,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,253,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
01022104,Emdener Straße,"17,806",2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",9.97,3.25,19.01,48.67,-0.12,-0.29,-0.70,0.04,48.64,"17,806",0.77,0.69,0.79,1.01,3.25,0.84,mittel,0.55,0.05,-0.49,0.36,0.47,0.17,stabil,4.62,30.06,15.33,69.65,45.85,28.59,1.94,58.26,31.78,3.27,1.73,37.39,100.00,53.85,32.57,1.70,-5.01
