Nummer,Name,EW 31.12.2014,Status-Index                    (Klasse),,Dynamik-Index             (Klasse),,Status/Dynamik-Index                                                    (Gruppe),,S1,S2,S3,S4,D1,D2,D3,D4,S4 new,EW 31.12. 2014,zS1,zS2,zS3,zS4,Status-summe,Status-Index (standardisierte Statussumme),Zuordnung Klasse Status-Index ,zD1,zD2,zD3,zD4,Dynamik-summe,Dynamik-Index (standardisierte Dynamik-summe),Zuordnung Klasse Dynamik-Index ,K 01,K 02,K 03,K04,K 05,K16,K 06,K 17,K 07,K 08,K 14,K 15,K 09,K 10,K 11,K 12,K 13
02020201,Gleisdreieck/Entwicklungsgebiet,284,0,,0,,0,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,284,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
02020202,Rathaus Yorckstraße,"5,726",2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",7.74,2.63,13.38,24.28,-0.49,-0.14,0.03,-4.19,28.47,"5,726",0.10,0.17,0.14,-0.20,0.21,0.05,mittel,0.19,0.36,0.19,-1.06,-0.32,-0.12,stabil,3.84,28.65,10.97,48.28,38.75,24.94,1.72,54.34,22.85,2.75,1.73,39.19,75.52,57.55,36.57,0.09,-3.38
02020203,Viktoriapark,"10,668",2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",6.83,1.85,11.49,24.02,-0.94,-0.56,-0.50,-1.58,25.59,"10,668",-0.17,-0.48,-0.08,-0.22,-0.95,-0.25,mittel,-0.25,-0.50,-0.31,-0.18,-1.24,-0.46,stabil,3.89,24.21,9.81,51.15,36.27,21.71,0.27,47.06,19.71,0.12,1.89,43.47,92.63,55.17,30.38,1.76,-0.21
02020204,Urbanstraße,"12,195",2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",6.93,2.09,12.45,25.63,-1.11,-0.75,-0.36,-0.57,26.19,"12,195",-0.14,-0.28,0.03,-0.14,-0.52,-0.14,mittel,-0.42,-0.87,-0.17,0.16,-1.31,-0.48,stabil,2.79,29.97,12.50,51.71,39.43,24.89,1.66,51.04,21.33,0.34,1.78,39.13,87.39,55.96,33.34,0.60,-2.05
02020205,Chamissokiez,"14,837",2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",7.16,2.07,12.26,23.94,-0.58,-0.35,-0.40,-2.16,26.10,"14,837",-0.07,-0.30,0.01,-0.22,-0.58,-0.15,mittel,0.10,-0.06,-0.21,-0.38,-0.54,-0.20,stabil,3.07,30.27,12.61,51.80,37.87,23.04,0.34,53.85,21.57,17.61,1.79,40.23,32.83,59.63,27.78,-0.34,-6.59
02020206,Graefekiez,"18,928",2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",8.43,2.61,17.12,36.33,-1.00,-0.52,-0.72,-3.32,39.65,"18,928",0.31,0.16,0.57,0.40,1.43,0.37,mittel,-0.31,-0.41,-0.51,-0.76,-1.99,-0.73,stabil,4.03,25.43,13.66,60.77,43.54,26.75,0.84,55.18,33.18,0.86,1.68,38.36,65.53,57.44,29.01,-0.04,-4.59
02030301,Oranienplatz,"9,216",4,sehr niedrig,+/-,stabil,4+/-,"Status sehr niedrig, Dynamik stabil",12.07,4.17,29.10,57.70,-1.15,-0.36,-0.19,-0.03,57.73,"9,216",1.40,1.46,1.95,1.46,6.27,1.62,sehr niedrig,-0.46,-0.09,-0.02,0.34,-0.23,-0.09,stabil,6.62,25.93,24.07,79.70,62.33,38.59,-0.21,73.99,47.08,13.09,1.44,30.71,96.08,63.20,25.63,-0.82,-5.19
02030302,Lausitzer Platz,"13,282",3,niedrig,+/-,stabil,3+/-,"Status niedrig, Dynamik stabil",10.97,3.53,23.36,46.31,-0.87,-0.38,-0.61,-3.99,50.30,"13,282",1.07,0.92,1.29,0.89,4.18,1.08,niedrig,-0.18,-0.12,-0.40,-0.99,-1.70,-0.63,stabil,5.31,30.01,21.41,69.95,52.90,32.76,0.05,67.00,38.22,14.82,1.59,34.41,100.00,62.21,29.53,-0.49,-3.33
02030401,Reichenberger Straße,"15,222",2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",9.20,2.82,18.37,39.81,-0.60,-0.29,-0.34,-2.65,42.46,"15,222",0.54,0.33,0.72,0.57,2.15,0.56,mittel,0.08,0.05,-0.15,-0.54,-0.56,-0.21,stabil,4.00,27.38,14.58,63.40,46.42,30.23,1.41,57.61,28.35,0.82,1.59,36.59,98.75,56.81,31.69,0.36,-5.17
02030402,Wrangelkiez,"11,273",2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",8.99,2.88,17.54,38.11,-0.64,-0.28,-0.59,-1.79,39.90,"11,273",0.48,0.38,0.62,0.48,1.96,0.51,mittel,0.04,0.08,-0.39,-0.25,-0.52,-0.19,stabil,3.68,30.44,17.09,61.66,48.22,32.48,-0.52,58.08,28.12,3.26,1.60,35.79,100.00,58.99,30.87,-0.75,-5.24
02040501,Barnimkiez,"5,410",2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",9.62,3.14,13.55,42.52,0.21,-0.24,-0.18,-4.68,47.20,"5,410",0.67,0.60,0.16,0.70,2.12,0.55,mittel,0.88,0.15,-0.01,-1.22,-0.20,-0.07,stabil,5.38,45.05,1.38,49.78,21.09,12.20,1.64,71.97,37.13,73.62,1.93,32.24,0.00,69.85,17.60,1.95,6.38
02040502,Friedenstraße,"7,118",2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",7.34,2.13,10.27,30.78,-0.30,-0.14,-0.08,1.27,29.51,"7,118",-0.02,-0.25,-0.22,0.12,-0.37,-0.10,mittel,0.38,0.36,0.09,0.77,1.61,0.59,stabil,3.22,35.00,3.37,44.93,22.16,13.63,1.82,56.19,25.37,36.56,1.92,39.22,0.00,59.28,27.84,1.91,-3.25
02040503,Richard-Sorge-Viertel,"10,680",2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",5.64,1.48,7.22,15.07,-0.46,-0.24,0.08,-0.35,15.42,"10,680",-0.53,-0.80,-0.57,-0.66,-2.56,-0.66,mittel,0.22,0.15,0.24,0.23,0.83,0.31,stabil,2.39,26.44,1.66,31.74,20.11,13.58,1.98,46.41,13.87,24.15,1.80,37.91,58.91,48.44,33.96,1.78,-7.01
02040701,Andreasviertel,"12,266",2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",7.13,2.08,13.69,44.24,-0.69,-0.42,0.77,0.33,43.91,"12,266",-0.08,-0.29,0.17,0.79,0.59,0.15,mittel,-0.01,-0.20,0.88,0.46,1.13,0.42,stabil,3.32,35.03,3.79,56.47,31.05,20.37,1.53,70.03,24.57,50.11,1.73,34.83,0.00,57.83,28.35,0.30,-5.70
02040702,Weberwiese,"10,677",2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",6.17,1.50,7.51,14.50,-0.55,-0.30,0.04,0.07,14.43,"10,677",-0.37,-0.77,-0.54,-0.69,-2.37,-0.61,mittel,0.13,0.03,0.19,0.37,0.72,0.26,stabil,3.04,29.96,3.30,29.85,20.16,13.04,2.03,38.29,12.21,14.23,1.74,39.64,30.50,54.86,29.82,0.35,-2.40
02040703,Wriezener Bahnhof/ Entwicklungsgebiet,855,2,mittel,-,negativ,2-,"Status mittel, Dynamik negativ",7.76,2.64,22.92,57.14,-0.86,0.03,3.30,-3.90,61.04,855,0.11,0.17,1.24,1.43,2.95,0.76,mittel,-0.17,0.70,3.23,-0.96,2.81,1.03,negativ,1.96,27.38,0.00,80.35,63.86,54.62,17.06,31.91,31.03,0.00,1.98,43.42,0.00,33.75,79.86,16.53,38.87
02050601,Hausburgviertel,"8,752",2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",8.21,2.10,9.52,22.31,-0.29,-0.40,-0.93,-3.07,25.38,"8,752",0.24,-0.28,-0.31,-0.30,-0.64,-0.17,mittel,0.39,-0.16,-0.70,-0.68,-1.16,-0.43,stabil,3.64,29.91,7.63,35.04,23.56,16.67,2.28,43.73,14.64,10.69,1.75,38.68,100.00,44.29,39.88,0.08,-8.60
02050602,Samariterviertel,"19,631",2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",7.52,1.93,9.61,17.47,-0.55,-0.53,-0.78,-4.83,22.29,"19,631",0.03,-0.41,-0.30,-0.54,-1.22,-0.31,mittel,0.13,-0.42,-0.57,-1.27,-2.13,-0.78,stabil,3.36,31.29,7.68,29.00,23.03,15.80,1.88,39.37,15.14,6.59,1.72,37.63,59.69,45.62,37.70,1.53,-3.99
02050801,Traveplatz,"18,811",2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",7.60,2.04,11.50,27.15,-0.74,-0.47,-0.76,-3.98,31.12,"18,811",0.06,-0.32,-0.08,-0.06,-0.40,-0.10,mittel,-0.05,-0.30,-0.55,-0.99,-1.89,-0.70,stabil,3.61,33.74,7.76,34.39,26.55,18.92,3.05,44.51,17.12,12.16,1.69,36.47,54.83,45.67,39.35,0.57,-8.02
02050802,Boxhagener Platz,"19,841",2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",6.10,1.55,7.77,14.27,-0.90,-0.44,-0.42,-2.53,16.80,"19,841",-0.39,-0.73,-0.51,-0.70,-2.34,-0.60,mittel,-0.21,-0.24,-0.23,-0.50,-1.19,-0.44,stabil,1.88,29.87,6.58,26.04,24.36,17.69,1.98,32.56,8.74,3.83,1.77,39.94,74.52,45.03,40.79,0.51,-9.52
02050803,Stralauer Kiez,"6,632",2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",7.30,2.06,10.93,29.29,-0.75,-0.20,-0.78,-0.59,29.89,"6,632",-0.03,-0.31,-0.14,0.05,-0.44,-0.11,mittel,-0.07,0.23,-0.57,0.15,-0.25,-0.09,stabil,3.47,35.01,6.40,26.32,23.15,16.28,2.22,38.24,15.26,13.32,1.89,38.16,100.00,48.53,36.69,1.02,-8.53
02050804,Stralauer Halbinsel,"3,500",1,hoch,+/-,stabil,1+/-,"Status hoch, Dynamik stabil",2.82,0.70,3.37,4.45,-0.56,0.13,-0.21,-0.78,5.23,"3,500",-1.38,-1.44,-1.02,-1.19,-5.02,-1.30,hoch,0.12,0.91,-0.04,0.09,1.09,0.40,stabil,1.47,21.40,2.07,24.00,18.11,9.94,4.03,46.84,6.23,2.45,1.64,40.54,0.00,50.22,31.62,6.01,-0.11
03010101,Bucher Forst,"3,297",2,mittel,+,positiv,2+,"Status mittel, Dynamik positiv",7.99,2.53,9.01,16.56,-1.59,-1.09,-0.54,-4.18,20.74,"3,297",0.17,0.09,-0.37,-0.59,-0.69,-0.18,mittel,-0.89,-1.56,-0.34,-1.05,-3.84,-1.42,positiv,5.92,28.53,1.18,15.52,10.01,6.07,1.99,43.50,25.65,36.43,2.05,42.07,19.84,56.31,31.76,7.50,15.04
03010102,Buch,"11,207",2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",10.62,3.94,15.93,43.70,-0.98,-0.45,0.76,-2.95,46.66,"11,207",0.97,1.26,0.43,0.76,3.42,0.89,mittel,-0.30,-0.27,0.87,-0.64,-0.34,-0.12,stabil,7.77,45.22,2.15,13.48,8.55,5.06,2.16,61.20,26.20,46.18,1.96,34.01,74.03,56.04,26.51,6.21,12.93
03010104,Lietzengraben,213,0,,0,,0,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,213,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
03020203,Blankenfelde,"2,069",2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",6.06,2.61,3.29,8.87,-1.27,0.19,-1.82,-2.53,11.39,"2,069",-0.40,0.15,-1.03,-0.97,-2.25,-0.58,mittel,-0.58,1.03,-1.54,-0.50,-1.59,-0.59,stabil,2.48,25.96,0.00,9.49,4.83,2.08,0.95,13.95,25.64,1.22,2.05,45.29,99.57,52.40,16.17,2.69,14.24
03020209,Niederschönhausen,"14,031",2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",4.45,1.41,5.12,8.47,-1.06,-0.33,-0.42,-0.77,9.25,"14,031",-0.89,-0.85,-0.81,-0.99,-3.54,-0.92,mittel,-0.37,-0.04,-0.23,0.09,-0.55,-0.20,stabil,2.61,26.71,1.77,18.15,11.37,6.36,1.06,53.25,6.92,4.27,1.77,40.45,20.10,58.22,21.80,1.40,2.01
03020210,Herthaplatz,"10,429",2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",5.00,1.78,5.69,9.47,-0.56,0.30,-0.63,-1.24,10.71,"10,429",-0.72,-0.54,-0.75,-0.94,-2.95,-0.76,mittel,0.12,1.25,-0.43,-0.07,0.88,0.32,stabil,2.81,24.03,2.48,13.95,8.51,3.76,0.32,48.21,16.39,2.33,1.89,41.22,23.12,58.78,21.61,1.22,3.58
03020307,Buchholz,"17,218",2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",4.72,1.57,6.45,12.80,-0.96,-0.29,-0.68,-3.08,15.88,"17,218",-0.81,-0.71,-0.66,-0.77,-2.95,-0.76,mittel,-0.27,0.05,-0.48,-0.69,-1.38,-0.51,stabil,2.45,24.37,2.89,16.06,9.42,3.01,0.25,54.63,21.59,0.10,1.77,39.42,52.44,66.04,17.83,0.78,5.34
03030405,Karow Nord,"10,576",2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",5.40,1.68,9.18,19.46,-0.97,-0.37,0.61,-0.25,19.71,"10,576",-0.60,-0.63,-0.35,-0.44,-2.02,-0.52,mittel,-0.28,-0.11,0.73,0.26,0.60,0.22,stabil,3.21,32.36,2.66,14.12,8.36,3.05,0.62,50.77,27.87,0.00,2.01,36.60,9.80,61.32,22.59,-0.74,-4.06
03030406,Alt-Karow,"8,157",1,hoch,+/-,stabil,1+/-,"Status hoch, Dynamik stabil",3.15,1.00,2.18,4.96,-0.15,-0.06,-0.20,0.50,4.46,"8,157",-1.28,-1.19,-1.15,-1.16,-4.78,-1.24,hoch,0.53,0.52,-0.03,0.51,1.53,0.56,stabil,1.21,15.80,0.77,9.81,5.57,2.21,0.23,50.00,10.30,0.06,2.01,44.98,6.36,78.16,13.36,0.76,11.19
03030711,Blankenburg,"6,745",1,hoch,+/-,stabil,1+/-,"Status hoch, Dynamik stabil",3.12,1.13,2.65,4.49,-0.95,-0.35,0.23,-0.23,4.71,"6,745",-1.29,-1.08,-1.10,-1.19,-4.66,-1.21,hoch,-0.26,-0.06,0.38,0.27,0.33,0.12,stabil,0.83,18.62,0.69,9.74,4.36,1.79,0.15,43.80,4.35,0.56,1.99,43.79,99.51,66.00,13.13,2.81,16.34
03030715,Heinersdorf,"6,583",2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",4.35,1.62,4.03,8.88,-0.30,-0.02,0.16,-0.95,9.83,"6,583",-0.92,-0.67,-0.94,-0.97,-3.50,-0.91,mittel,0.38,0.61,0.31,0.03,1.32,0.49,stabil,1.57,23.40,1.33,14.06,6.82,3.21,0.72,54.98,18.75,7.20,2.10,45.09,2.04,72.69,15.32,1.16,9.60
03030716,Märchenland,"1,128",1,hoch,-,negativ,1-,"Status hoch, Dynamik negativ",4.02,0.89,2.22,5.94,0.98,-0.12,-0.43,5.94,0.00,"1,128",-1.02,-1.28,-1.15,-1.11,-4.56,-1.18,hoch,1.64,0.40,-0.24,2.34,4.14,1.53,negativ,0.00,22.62,0.00,9.84,3.01,0.89,-0.79,70.00,0.00,0.00,2.18,44.77,0.53,82.18,9.35,0.84,10.77
03040508,Rosenthal,"4,587",2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",3.91,1.27,5.65,12.28,-0.70,-0.15,-0.10,0.02,12.26,"4,587",-1.05,-0.97,-0.75,-0.80,-3.57,-0.92,mittel,-0.02,0.33,0.07,0.35,0.74,0.27,stabil,2.09,14.73,1.14,30.92,18.27,5.25,0.89,56.85,28.04,1.22,1.84,40.77,0.52,66.05,16.20,1.28,7.00
03040512,Wilhelmsruh,"9,520",2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",4.98,1.78,4.97,9.62,-0.26,0.08,0.01,-0.85,10.47,"9,520",-0.73,-0.54,-0.83,-0.93,-3.03,-0.79,mittel,0.41,0.80,0.17,0.06,1.45,0.53,stabil,2.05,27.10,2.41,20.61,10.59,4.33,0.59,52.91,17.48,1.14,2.02,41.19,0.04,67.17,19.55,0.44,-2.30
03040513,Schönholz,"3,357",1,hoch,+/-,stabil,1+/-,"Status hoch, Dynamik stabil",4.08,1.49,2.80,1.75,-0.74,-0.20,-1.15,-3.51,5.25,"3,357",-1.00,-0.78,-1.08,-1.32,-4.19,-1.08,hoch,-0.05,0.24,-0.91,-0.83,-1.55,-0.57,stabil,0.00,20.45,1.57,19.19,10.90,4.92,0.58,46.67,11.95,0.36,1.84,41.61,25.29,63.69,17.20,1.48,6.15
03040614,Pankow Zentrum,"34,233",2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",6.38,2.07,7.69,14.11,-0.74,-0.32,-0.32,-1.43,15.54,"34,233",-0.31,-0.30,-0.52,-0.71,-1.83,-0.47,mittel,-0.06,-0.01,-0.14,-0.13,-0.34,-0.12,stabil,3.73,31.88,2.10,17.03,10.36,5.47,1.27,45.86,16.45,25.44,1.87,39.49,7.15,58.58,23.73,1.86,2.20
03040818,Pankow Süd,"33,714",2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",6.78,2.12,8.56,18.33,-0.89,-0.38,-0.45,-3.18,21.51,"33,714",-0.19,-0.25,-0.42,-0.50,-1.36,-0.35,mittel,-0.20,-0.13,-0.26,-0.72,-1.31,-0.48,stabil,3.51,36.86,2.88,18.40,11.77,7.70,2.51,47.73,16.30,22.46,1.96,37.47,28.33,59.32,25.79,1.93,0.22
03050919,Gustav-Adolf-Straße,"5,320",2,mittel,+,positiv,2+,"Status mittel, Dynamik positiv",6.61,1.97,8.65,18.57,-2.03,-0.64,-0.30,-2.91,21.47,"5,320",-0.24,-0.38,-0.41,-0.49,-1.51,-0.39,mittel,-1.32,-0.65,-0.12,-0.63,-2.72,-1.00,positiv,2.09,32.23,1.82,26.30,13.87,11.54,9.43,88.76,5.45,45.84,1.99,35.31,0.00,63.01,25.91,4.76,7.09
03050920,Weißer See,"7,024",2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",6.47,2.25,7.87,15.16,-1.75,-0.42,0.26,-2.13,17.28,"7,024",-0.28,-0.14,-0.50,-0.66,-1.58,-0.41,mittel,-1.05,-0.21,0.40,-0.36,-1.23,-0.45,stabil,3.43,30.45,1.70,19.71,10.62,6.16,1.38,33.49,19.14,15.54,1.85,37.77,0.00,54.09,25.70,4.28,7.56
03050923,Weißenseer Spitze,"8,772",2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",8.88,3.43,9.54,17.34,-0.75,-0.20,-1.50,-4.42,21.76,"8,772",0.44,0.84,-0.30,-0.55,0.43,0.11,mittel,-0.06,0.25,-1.24,-1.13,-2.19,-0.81,stabil,4.71,29.74,5.71,21.79,14.53,9.23,2.40,40.74,19.50,13.73,1.86,39.34,50.87,50.98,31.45,2.04,-1.65
03050924,Behaimstraße,"5,647",2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",10.15,3.52,10.86,20.60,-1.03,0.02,-0.67,-1.36,21.97,"5,647",0.82,0.92,-0.15,-0.39,1.20,0.31,mittel,-0.34,0.68,-0.46,-0.11,-0.23,-0.09,stabil,4.77,33.92,6.16,19.81,16.54,11.39,2.38,35.30,17.23,20.56,1.84,38.65,38.99,52.91,30.27,1.22,-1.66
03050925,Komponistenviertel Weißensee,"8,679",2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",6.99,2.39,9.38,16.57,-0.76,-0.46,0.07,-0.65,17.21,"8,679",-0.12,-0.03,-0.32,-0.59,-1.07,-0.28,mittel,-0.07,-0.29,0.23,0.13,0.00,0.00,stabil,2.86,35.39,3.29,19.12,11.25,6.68,1.54,51.21,20.43,14.91,1.92,39.31,0.00,57.90,25.84,1.33,2.39
03051017,Rennbahnstraße,"4,123",2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",7.20,2.17,9.36,21.44,-0.34,-0.61,0.62,-1.72,23.16,"4,123",-0.06,-0.21,-0.32,-0.34,-0.94,-0.24,mittel,0.34,-0.60,0.74,-0.23,0.25,0.09,stabil,4.25,28.77,4.06,18.84,14.36,9.53,2.41,49.62,22.19,9.90,1.71,36.29,11.06,58.91,28.27,-0.39,1.68
03051021,Buschallee,"6,484",2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",9.60,3.39,10.19,29.19,-0.86,-0.17,-0.29,-3.44,32.63,"6,484",0.66,0.80,-0.23,0.04,1.27,0.33,mittel,-0.18,0.30,-0.11,-0.81,-0.79,-0.29,stabil,7.33,49.34,2.10,19.84,7.96,5.64,0.88,71.31,26.78,29.87,2.08,36.00,0.00,65.55,20.99,0.77,-0.61
03051022,Hansastraße,"4,518",2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",6.79,2.78,10.89,35.19,-1.60,-0.08,0.11,-1.03,36.22,"4,518",-0.19,0.29,-0.15,0.34,0.30,0.08,mittel,-0.90,0.49,0.27,0.00,-0.15,-0.05,stabil,4.40,41.21,0.95,12.27,5.29,2.26,-0.06,50.98,48.04,26.31,1.98,35.26,1.00,65.86,18.95,0.12,-1.58
03061126,Arnimplatz,"14,997",2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",6.65,1.90,7.01,10.88,-1.00,-0.43,-0.74,-3.88,14.76,"14,997",-0.23,-0.44,-0.60,-0.87,-2.14,-0.55,mittel,-0.31,-0.22,-0.53,-0.95,-2.01,-0.74,stabil,3.12,28.46,7.74,28.70,22.54,15.37,2.46,38.83,9.66,6.04,1.80,40.14,93.93,50.25,35.67,2.01,-3.31
03061131,Falkplatz,"10,185",2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",5.92,1.68,5.75,6.82,-0.53,-0.54,-0.32,-1.27,8.09,"10,185",-0.45,-0.62,-0.74,-1.07,-2.88,-0.75,mittel,0.15,-0.45,-0.13,-0.08,-0.51,-0.19,stabil,2.41,25.89,7.17,34.15,28.15,19.73,2.91,34.59,5.63,6.13,1.76,39.55,90.47,47.98,37.71,1.33,-4.61
03061227,Humannplatz,"14,413",2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",6.33,1.74,6.66,12.64,-0.26,-0.20,-0.38,-0.77,13.41,"14,413",-0.32,-0.57,-0.64,-0.78,-2.32,-0.60,mittel,0.42,0.23,-0.20,0.09,0.54,0.20,stabil,2.47,31.64,4.72,29.38,21.52,14.45,3.06,39.99,7.96,15.47,1.85,39.59,59.35,51.79,31.99,0.56,-5.51
03061228,Erich-Weinert-Straße,"12,386",2,mittel,+,positiv,2+,"Status mittel, Dynamik positiv",7.82,2.47,9.37,23.81,-1.79,-0.76,-0.66,-5.08,28.89,"12,386",0.12,0.04,-0.32,-0.23,-0.39,-0.10,mittel,-1.09,-0.89,-0.45,-1.35,-3.79,-1.40,positiv,3.43,41.61,3.82,32.37,17.23,11.57,2.25,45.08,16.61,26.80,1.92,37.22,46.25,55.93,29.93,1.54,-7.52
03061332,Helmholtzplatz,"22,245",2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",6.29,1.89,6.92,9.94,-0.54,-0.38,-0.34,-1.74,11.69,"22,245",-0.33,-0.45,-0.61,-0.92,-2.31,-0.60,mittel,0.14,-0.13,-0.15,-0.24,-0.38,-0.14,stabil,1.91,30.62,9.60,31.55,26.95,17.95,2.92,38.67,7.85,5.94,1.76,41.54,12.39,50.18,34.07,0.46,-5.83
03061429,Greifswalder Straße,"10,163",2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",9.73,3.82,10.77,38.36,-1.07,0.03,0.12,-1.66,40.03,"10,163",0.70,1.16,-0.16,0.50,2.20,0.57,mittel,-0.38,0.70,0.27,-0.21,0.38,0.14,stabil,4.70,47.11,1.11,31.09,10.31,6.15,1.89,64.80,38.25,31.48,2.03,35.25,49.63,71.70,16.22,2.12,5.16
03061430,Volkspark Prenzlauer Berg,"2,971",3,niedrig,+/-,stabil,3+/-,"Status niedrig, Dynamik stabil",14.89,4.72,11.71,30.48,1.16,-0.64,0.00,-0.61,31.09,"2,971",2.25,1.92,-0.05,0.10,4.21,1.09,niedrig,1.81,-0.66,0.16,0.14,1.45,0.54,stabil,12.50,46.00,2.45,28.94,13.46,8.08,1.70,63.33,37.77,43.58,2.02,34.46,14.34,68.62,22.22,1.34,10.52
03061434,Anton-Saefkow-Park,"6,078",2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",7.56,2.39,8.52,15.20,-0.91,-0.16,-0.12,-0.83,16.03,"6,078",0.05,-0.03,-0.42,-0.65,-1.06,-0.27,mittel,-0.23,0.31,0.05,0.07,0.21,0.08,stabil,3.10,29.81,5.08,24.97,18.72,12.60,2.30,40.73,13.24,17.41,2.01,39.35,87.82,53.15,30.07,0.24,-5.50
03061435,Conrad-Blenkle-Straße,"3,925",2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",9.93,3.52,13.07,33.64,-1.33,-0.44,0.71,-2.41,36.05,"3,925",0.76,0.92,0.10,0.26,2.04,0.53,mittel,-0.64,-0.24,0.83,-0.46,-0.51,-0.19,stabil,3.88,44.13,3.34,33.47,21.22,14.52,2.40,47.54,24.78,34.76,1.90,35.76,63.34,55.10,30.93,0.65,-9.11
03061441,Eldenaer Straße,"2,342",1,hoch,+/-,stabil,1+/-,"Status hoch, Dynamik stabil",2.18,0.41,0.81,0.60,-0.06,0.41,-0.65,-0.04,0.64,"2,342",-1.57,-1.69,-1.31,-1.38,-5.95,-1.54,hoch,0.61,1.47,-0.45,0.33,1.96,0.72,stabil,0.00,11.65,0.00,32.91,21.82,10.55,2.73,49.80,3.83,0.00,1.47,41.07,0.00,28.09,33.87,10.74,15.29
03071536,Teutoburger Platz,"10,661",2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",5.22,1.42,5.56,9.66,-0.42,-0.12,-0.28,0.37,9.29,"10,661",-0.66,-0.84,-0.76,-0.93,-3.19,-0.83,mittel,0.25,0.39,-0.10,0.47,1.01,0.37,stabil,2.25,28.37,4.42,37.61,31.95,21.81,1.86,40.13,6.27,8.97,1.84,42.56,54.22,50.33,35.12,0.48,-6.11
03071537,Kollwitzplatz,"14,511",2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",5.11,1.48,5.47,7.70,-0.61,-0.14,0.04,0.41,7.29,"14,511",-0.69,-0.79,-0.77,-1.03,-3.28,-0.85,mittel,0.07,0.35,0.20,0.48,1.11,0.41,stabil,1.67,30.85,6.78,35.15,29.19,20.65,2.82,43.72,5.67,9.62,1.92,44.69,0.00,54.04,39.13,-0.58,-7.10
