Nummer,Name,EW 31.12.2012,Statusindex                    (Gruppe),,Dynamikindex             (Gruppe),,Status/Dynamik-Index                                                    (Gruppe),,S1,S2,S3,S4,D1,D2,D3,D4,zS1,zS2,zS3,zS4,Status-summe,Statusindex (standardisierte Statussumme),Zuordnung Gruppe Statusindex ,zD1,zD2,zD3,zD4,Dynamik-summe,Dynamikindex (standardisierte Dynamik-summe),Zuordnung Gruppe Dynamik-index ,K 01,K 02,K 03,K04,K 05,K 06,K 07,K 08,K 09,K 10,K 11,K 12,K 13
12231101,Hermsdorf,"16,167",1,hoch,+/-,stabil,1+/-,"Status hoch, Dynamik stabil",3.15,1.17,2.53,4.21,-0.32,0.18,0.06,-0.52,-1.32,-1.13,-1.14,-1.26,-4.85,-1.25,hoch,0.45,0.69,0.22,0.38,1.74,0.62,stabil,1.29,24.76,0.96,20.56,10.58,0.16,5.74,2.32,0.23,72.50,16.77,0.16,4.81
12231102,Frohnau,"16,633",1,hoch,+/-,stabil,1+/-,"Status hoch, Dynamik stabil",2.65,0.69,1.95,3.39,0.15,-0.12,0.16,0.39,-1.46,-1.48,-1.21,-1.30,-5.44,-1.40,hoch,0.95,0.07,0.32,0.64,1.99,0.71,stabil,0.85,20.45,0.82,19.85,10.99,0.23,4.75,0.00,0.00,71.60,17.57,0.88,7.71
12301203,Wittenau Süd,"13,554",2,mittel,-,negativ,2-,"Status mittel, Dynamik negativ",8.19,2.61,11.10,31.70,0.13,-0.14,0.51,2.69,0.03,-0.09,-0.15,0.04,-0.17,-0.04,mittel,0.92,0.02,0.67,1.31,2.93,1.04,negativ,8.87,39.29,2.76,36.04,19.15,1.15,25.06,0.00,0.00,62.60,23.47,3.00,1.95
12301204,Wittenau Nord,"6,180",2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",4.22,1.16,5.60,14.19,0.00,-0.10,0.40,2.01,-1.03,-1.14,-0.78,-0.79,-3.75,-0.97,mittel,0.79,0.10,0.56,1.11,2.56,0.91,stabil,2.96,19.55,2.24,30.26,17.49,0.88,18.68,9.61,0.29,65.68,18.49,0.91,6.68
12301205,Waidmannslust,"4,794",1,hoch,+/-,stabil,1+/-,"Status hoch, Dynamik stabil",4.85,1.18,4.76,9.16,0.15,-0.15,0.21,0.04,-0.87,-1.13,-0.88,-1.03,-3.90,-1.00,hoch,0.95,0.01,0.37,0.54,1.87,0.67,stabil,4.44,27.89,1.33,30.01,14.66,0.31,8.57,0.00,0.00,68.24,20.55,1.04,5.78
12301206,Lübars,"4,806",1,hoch,+/-,stabil,1+/-,"Status hoch, Dynamik stabil",4.15,1.06,3.27,4.93,0.46,-0.31,-0.51,-1.44,-1.05,-1.21,-1.05,-1.23,-4.54,-1.17,hoch,1.28,-0.32,-0.34,0.11,0.72,0.25,stabil,2.10,18.13,2.49,22.58,12.38,0.55,3.35,3.78,0.00,74.06,15.72,-0.16,8.78
12302107,Schorfheidestraße,"2,917",2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",4.54,1.69,5.35,14.50,-0.71,0.14,0.12,1.43,-0.95,-0.75,-0.81,-0.77,-3.29,-0.85,mittel,0.04,0.61,0.28,0.94,1.87,0.66,stabil,4.35,19.69,1.74,60.19,31.78,2.06,10.78,19.24,100.00,69.34,20.03,0.86,4.89
12302108,Märkisches Zentrum,"13,392",4,sehr niedrig,-,negativ,4-,"Status sehr niedrig, Dynamik negativ",12.82,4.02,27.69,70.47,0.57,0.12,2.18,3.71,1.28,0.93,1.78,1.87,5.85,1.51,sehr niedrig,1.40,0.57,2.33,1.61,5.91,2.10,negativ,6.40,34.80,4.60,57.27,34.81,2.53,58.56,80.51,100.00,56.15,26.28,0.39,4.77
12302109,Treuenbrietzener Straße,"10,296",4,sehr niedrig,+,positiv,4+,"Status sehr niedrig, Dynamik positiv",14.88,4.43,34.17,73.14,-0.32,-0.47,-2.11,-4.24,1.83,1.23,2.53,1.99,7.59,1.95,sehr niedrig,0.45,-0.65,-1.93,-0.71,-2.84,-1.01,positiv,10.09,32.64,7.37,66.17,44.25,3.06,56.38,100.00,100.00,46.68,34.46,5.01,3.81
12302110,Dannenwalder Weg,"9,273",3,niedrig,+/-,stabil,3+/-,"Status niedrig, Dynamik stabil",12.32,3.53,29.40,64.78,-1.27,-0.52,0.53,-0.51,1.14,0.58,1.98,1.60,5.30,1.36,niedrig,-0.56,-0.75,0.69,0.38,-0.24,-0.08,stabil,7.64,31.78,5.13,67.55,46.04,4.20,55.96,87.06,100.00,51.44,32.75,2.62,10.15
12302211,Lübarser Straße,"3,249",2,mittel,-,negativ,2-,"Status mittel, Dynamik negativ",7.26,2.20,6.77,20.08,0.56,-0.29,0.64,2.41,-0.22,-0.38,-0.65,-0.51,-1.76,-0.45,mittel,1.38,-0.29,0.80,1.23,3.12,1.11,negativ,5.06,24.56,2.29,44.28,20.41,1.66,19.25,28.50,100.00,70.41,16.07,1.36,4.92
12302212,Rollbergesiedlung,"5,217",3,niedrig,-,negativ,3-,"Status niedrig, Dynamik negativ",12.19,3.00,26.78,60.07,1.42,-0.43,3.49,9.81,1.11,0.19,1.67,1.38,4.35,1.12,niedrig,2.29,-0.58,3.63,3.39,8.73,3.10,negativ,8.58,36.98,8.09,41.12,28.56,2.43,54.73,0.00,0.58,57.59,28.92,3.39,17.48
12304313,Borsigwalde,"6,379",2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",8.62,3.04,11.51,27.21,-0.28,-0.24,0.78,0.09,0.15,0.22,-0.10,-0.17,0.09,0.02,mittel,0.49,-0.19,0.93,0.55,1.79,0.64,stabil,6.07,41.25,3.92,28.84,16.23,1.25,26.63,17.32,100.00,62.40,24.05,0.74,-2.78
12304314,Ziekowstraße/Freie Scholle,"9,547",2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",6.84,2.21,7.42,20.54,0.14,0.19,-0.52,0.86,-0.33,-0.38,-0.57,-0.49,-1.78,-0.46,mittel,0.94,0.70,-0.35,0.78,2.07,0.74,stabil,4.23,39.00,3.34,20.52,12.00,0.69,19.91,0.00,0.00,70.14,16.40,0.23,1.57
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
