Nummer,Name,EW 31.12.2012,Statusindex                    (Gruppe),,Dynamikindex             (Gruppe),,Status/Dynamik-Index                                                    (Gruppe),,S1,S2,S3,S4,D1,D2,D3,D4,zS1,zS2,zS3,zS4,Status-summe,Statusindex (standardisierte Statussumme),Zuordnung Gruppe Statusindex ,zD1,zD2,zD3,zD4,Dynamik-summe,Dynamikindex (standardisierte Dynamik-summe),Zuordnung Gruppe Dynamik-index ,K 01,K 02,K 03,K04,K 05,K 06,K 07,K 08,K 09,K 10,K 11,K 12,K 13
11020516,Weiße Taube,"3,751",1,hoch,+,positiv,1+,"Status hoch, Dynamik positiv",2.89,0.69,3.84,9.74,-1.70,-0.71,-0.73,-3.60,-1.39,-1.48,-0.99,-1.00,-4.86,-1.25,hoch,-1.01,-1.14,-0.56,-0.52,-3.24,-1.15,positiv,1.13,19.61,0.41,18.34,8.66,0.11,15.44,0.00,12.72,65.26,19.51,0.47,-1.26
11030617,Hohenschönhausener Straße,"6,021",3,niedrig,-,negativ,3-,"Status niedrig, Dynamik negativ",13.89,4.67,17.87,63.72,-0.47,0.03,0.98,5.83,1.57,1.40,0.64,1.55,5.15,1.33,niedrig,0.30,0.38,1.14,2.23,4.04,1.44,negativ,9.89,40.58,1.96,57.67,24.22,0.67,54.58,25.94,0.00,63.59,20.43,0.42,-5.18
11030618,Fennpfuhl West,"15,610",2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",9.38,3.24,11.38,36.64,-0.62,-0.54,0.12,-2.66,0.35,0.37,-0.11,0.27,0.88,0.23,mittel,0.13,-0.79,0.28,-0.25,-0.63,-0.22,stabil,5.45,35.45,2.15,40.20,18.39,1.58,30.17,34.70,0.00,64.56,21.48,1.18,-0.16
11030619,Fennpfuhl Ost,"10,258",2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",11.79,3.91,16.45,48.52,-1.52,-0.49,1.46,-1.29,1.00,0.85,0.48,0.83,3.16,0.81,mittel,-0.82,-0.70,1.61,0.15,0.24,0.09,stabil,8.43,38.15,3.11,43.80,21.23,2.02,41.67,26.83,3.56,63.52,24.83,2.17,3.48
11030720,Herzbergstraße,"3,697",2,mittel,+,positiv,2+,"Status mittel, Dynamik positiv",6.93,2.29,10.87,32.23,-2.84,-0.14,-0.91,-14.76,-0.30,-0.32,-0.17,0.06,-0.74,-0.19,mittel,-2.22,0.02,-0.74,-3.77,-6.71,-2.39,positiv,3.47,32.51,4.03,63.64,49.69,10.31,7.19,0.00,96.59,21.60,112.08,16.11,7.78
11030721,Rüdigerstraße,"20,701",2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",9.48,3.30,10.40,27.27,-1.64,-0.69,-0.23,-3.92,0.38,0.41,-0.23,-0.17,0.39,0.10,mittel,-0.95,-1.12,-0.07,-0.61,-2.75,-0.98,stabil,5.06,36.06,2.61,26.09,14.03,1.52,23.39,30.47,49.39,52.28,33.51,2.49,-3.22
11030824,Frankfurter Allee Süd,"9,814",2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",9.50,3.40,14.90,46.99,-1.77,-0.46,-0.78,-3.10,0.38,0.48,0.30,0.76,1.92,0.50,mittel,-1.09,-0.64,-0.61,-0.37,-2.71,-0.96,stabil,4.21,37.01,2.49,47.59,28.21,1.52,28.43,48.89,60.24,65.76,23.53,0.36,-0.67
11040925,Victoriastadt,"3,392",2,mittel,+,positiv,2+,"Status mittel, Dynamik positiv",8.15,2.48,10.79,19.77,-2.83,-1.65,1.05,-1.55,0.02,-0.18,-0.18,-0.53,-0.87,-0.22,mittel,-2.22,-3.09,1.21,0.08,-4.02,-1.43,positiv,3.95,33.03,7.78,17.35,15.33,1.08,18.47,14.31,100.00,47.33,33.01,0.96,-3.90
11040926,Weitlingstraße,"26,348",2,mittel,+,positiv,2+,"Status mittel, Dynamik positiv",10.05,3.48,12.24,33.12,-2.39,-0.86,-0.03,-2.10,0.53,0.54,-0.01,0.11,1.17,0.30,mittel,-1.75,-1.46,0.13,-0.08,-3.16,-1.12,positiv,5.54,39.29,3.77,25.14,13.52,1.32,28.78,26.83,78.82,52.63,32.54,1.26,-5.50
11041022,Rosenfelder Ring,"4,929",2,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",14.12,4.71,12.62,44.16,-0.88,-0.10,-0.15,-6.45,1.63,1.43,0.03,0.63,3.71,0.96,mittel,-0.14,0.10,0.02,-1.35,-1.37,-0.49,stabil,8.24,38.89,2.65,48.82,19.48,2.88,33.21,4.14,77.28,62.90,31.78,2.02,-3.25
