ZEIT;RAUMID;BEZ;PGR;BZR;PLR;STADTRAUM;E_A;E_AM;E_AW;E_A00_01;E_A01_02;E_A02_03;E_A03_05;E_A05_06;E_A06_07;E_A07_08;E_A08_10;E_A10_12;E_A12_14;E_A14_15;E_A15_18;E_A18_21;E_A21_25;E_A25_27;E_A27_30;E_A30_35;E_A35_40;E_A40_45;E_A45_50;E_A50_55;E_A55_60;E_A60_63;E_A63_65;E_A65_67;E_A67_70;E_A70_75;E_A75_80;E_A80_85;E_A85_90;E_A90_95;E_A95_110;E_AU1;E_A1U6;E_A6U15;E_A15U18;E_A18U25;E_A25U55;E_A55U65;E_A65U80;E_A80U110
200112;01011101;01;01;11;01;1;1051;597;454;3;0;3;6;6;3;3;0;15;15;0;27;60;180;77;150;128;88;76;53;58;30;9;9;19;9;9;3;3;6;0;3;3;15;36;27;240;630;48;40;12
200112;01011102;01;01;11;02;1;34;25;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;9;3;0;3;0;9;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;22;9;3;0
200112;01011103;01;01;11;03;1;1472;758;714;3;9;15;37;15;6;15;28;25;31;25;53;43;102;63;82;169;157;153;127;74;67;36;20;24;18;30;30;3;12;0;0;3;76;130;53;145;825;123;102;15
200112;01011104;01;01;11;04;1;1684;895;789;12;12;29;49;23;18;24;49;54;51;24;60;55;140;97;113;201;180;139;81;93;57;28;21;18;12;22;12;3;4;0;3;12;113;220;60;195;904;106;64;10
200112;01011105;01;01;11;05;1;194;115;79;0;0;0;6;0;0;0;9;3;6;0;9;9;13;9;6;16;27;19;15;23;9;3;3;0;0;3;6;0;0;0;0;0;6;18;9;22;115;15;9;0
200112;01011201;01;01;12;01;1;597;345;252;4;3;0;9;6;13;9;6;9;12;6;27;11;15;27;33;59;67;63;79;60;33;12;9;3;13;3;3;0;0;3;0;4;18;55;27;26;388;54;22;3
200112;01011202;01;01;12;02;1;49;22;27;0;0;0;0;0;0;0;0;0;0;3;3;3;4;3;0;6;9;6;3;0;3;0;0;0;3;0;0;0;3;0;0;0;0;3;3;7;27;3;3;3
200112;01011203;01;01;12;03;1;360;187;173;3;0;4;3;0;0;0;6;6;6;6;9;21;22;9;15;46;28;24;44;41;24;13;12;6;3;3;3;0;0;3;0;3;7;24;9;43;207;49;15;3
200112;01011204;01;01;12;04;1;1112;636;476;9;3;3;16;9;3;9;15;25;25;13;37;59;78;50;64;102;117;99;99;99;63;22;16;11;21;17;18;3;0;7;0;9;31;90;37;137;630;101;67;10
200112;01011301;01;01;13;01;1;601;354;247;0;3;0;6;6;0;0;12;6;3;0;12;12;28;36;81;113;91;66;50;33;21;6;3;3;4;6;0;0;0;0;0;0;15;21;12;40;470;30;13;0
200112;01011302;01;01;13;02;1;1517;853;664;9;16;6;18;6;13;9;21;21;24;9;43;50;147;116;198;340;173;117;83;39;27;0;4;6;10;9;3;0;0;0;0;9;46;97;43;197;1066;31;28;0
200112;01011303;01;01;13;03;1;890;518;372;3;3;3;12;3;0;3;16;15;6;6;15;34;77;61;99;141;103;83;64;73;6;16;6;3;18;9;9;0;3;0;0;3;21;46;15;111;624;28;39;3
200112;01011304;01;01;13;04;1;774;393;381;7;3;13;25;6;7;21;21;21;22;3;32;29;66;18;41;88;103;65;42;27;31;12;0;13;9;27;12;3;7;0;0;7;47;95;32;95;384;43;61;10
200112;01011305;01;01;13;05;1;684;386;298;0;3;8;12;3;6;6;9;25;15;13;10;18;49;42;67;97;57;52;67;46;34;18;12;3;0;6;3;3;0;0;0;0;26;74;10;67;428;64;12;3
200112;01011306;01;01;13;06;1;972;614;358;12;3;19;22;10;3;3;6;12;10;9;58;72;74;47;100;144;127;77;59;41;28;10;3;3;9;11;0;0;0;0;0;12;54;43;58;146;595;41;23;0
