ZEIT;RAUMID;BEZ;PGR;BZR;PLR;STADTRAUM;MH_E;HK_EU15;HK_EU28;HK_Polen;HK_EheJug;HK_EheSU;HK_Turk;HK_Arab;HK_Sonst;HK_NZOrd
201812;12224230;12;22;42;30;2;2409;470;978;328;85;152;286;169;572;167
201812;12231101;12;23;11;01;2;2329;568;1069;294;96;168;170;154;539;133
201812;12231102;12;23;11;02;2;2178;535;1001;246;72;159;142;141;556;107
201812;12301203;12;30;12;03;2;4560;351;1372;589;309;308;692;709;910;260
201812;12301204;12;30;12;04;2;1403;196;480;165;61;100;201;142;325;94
201812;12301205;12;30;12;05;2;926;158;407;131;31;88;72;58;214;56
201812;12301206;12;30;12;06;2;841;120;297;137;59;67;110;54;158;96
201812;12302107;12;30;21;07;2;1297;112;313;81;66;61;415;94;187;161
201812;12302108;12;30;21;08;2;6226;316;1470;871;414;600;1486;725;982;549
201812;12302109;12;30;21;09;2;5987;350;1489;871;383;606;1316;799;1005;389
201812;12302110;12;30;21;10;2;5832;336;1235;664;360;812;1276;946;786;417
201812;12302211;12;30;22;11;2;950;83;318;115;89;70;208;55;148;62
201812;12302212;12;30;22;12;2;2837;177;835;411;159;173;345;834;385;106
201812;12304313;12;30;43;13;2;1613;212;684;241;88;91;160;211;278;101
201812;12304314;12;30;43;14;2;1429;181;555;272;60;93;215;105;267;134
