Eigentumswohnungen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2000,,2001,,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019,,2020,,2021,,
Block, Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² ,
049629, 6 ," 1,300 ", 2 ," 1,360 ", 4 ," 1,067 ", 3 ," 1,249 ",,, 1 , 819 ,,, 1 , 736 , 1 ," 1,020 ", 2 , 894 ,,, 4 ," 1,152 ", 9 ," 1,244 ", 3 ," 1,732 ",,, 4 ," 1,812 ", 1 ," 2,104 ", 3 ," 2,070 ", 2 ," 3,392 ", 1 ," 4,223 ", 1 ," 10,644 ",,,
049630, 2 ," 1,362 ", 2 ," 1,451 ", 3 ," 1,309 ", 5 ," 1,220 ", 1 ," 1,044 ", 4 ," 1,175 ", 3 ," 1,131 ",,, 2 ," 1,336 ",,, 2 , 806 , 2 ," 1,211 ", 6 ," 1,287 ", 11 ," 1,448 ", 3 ," 1,318 ", 26 ," 1,884 ", 4 ," 1,676 ", 9 ," 2,992 ", 5 ," 3,562 ", 4 ," 3,336 ", 4 ," 3,428 ",,,
049631, 3 ," 1,478 ",,,,, 2 ," 1,207 ",,,,,,, 1 ," 1,150 ",,, 1 ," 1,140 ",,, 2 ," 1,232 ", 4 ," 1,192 ", 2 ," 1,437 ", 2 ," 1,366 ", 10 ," 1,828 ",,, 1 ," 3,331 ", 2 ," 3,391 ",,, 1 ," 4,339 ",,,
049636,,,,,,, 1 ," 1,657 ",,,,,,,,,,,,,,, 1 ," 5,492 ",,,,,,,,,,, 2 ," 2,509 ",,,,,,,,,
049638, 3 ," 1,826 ", 5 ," 1,885 ", 3 ," 1,959 ", 11 ," 1,618 ", 2 ," 1,468 ", 8 ," 1,615 ", 2 ," 1,332 ", 4 ," 1,699 ", 4 ," 1,519 ", 5 ," 1,369 ", 8 ," 1,431 ", 9 ," 1,631 ", 6 ," 1,981 ", 7 ," 2,224 ", 2 ," 1,466 ", 4 ," 3,269 ", 4 ," 3,598 ", 6 ," 3,630 ", 6 ," 3,744 ", 4 ," 2,880 ", 12 ," 3,916 ", 1 ," 3,641 ",
049639,,,,,,,,,,,,,,,,,,,,,,,,, 4 ,, 2 ," 4,866 ",,,,,,,,,,,,,,,,,
049640,,, 1 ," 2,014 ", 2 ," 1,683 ", 2 ," 1,189 ", 2 , 958 , 2 ," 1,506 ", 2 , 853 , 1 ," 1,092 ", 1 ," 1,168 ", 1 ," 1,090 ", 4 , 913 ,,, 2 ," 1,428 ", 4 ," 1,542 ", 2 ," 1,563 ", 2 ," 1,860 ", 1 , 685 , 4 ," 2,128 ",,, 2 ," 3,172 ", 1 ," 4,146 ",,,
049641, 1 ," 1,003 ", 4 ," 1,331 ", 2 ," 1,561 ",,, 3 ," 1,266 ", 4 ," 1,212 ", 2 ," 1,195 ", 1 ," 1,541 ", 4 , 699 , 3 ," 1,622 ", 4 ," 1,637 ", 5 ," 1,698 ", 3 ," 2,076 ", 2 ," 1,747 ", 5 ," 1,734 ", 5 ," 1,900 ", 5 ," 3,719 ", 3 ," 2,470 ", 4 ," 2,973 ", 4 ," 3,728 ", 2 ," 3,684 ", 2 ," 7,732 ",
049642, 3 ," 1,523 ", 1 ," 1,236 ",,, 1 ," 1,198 ", 2 ," 1,034 ",,, 1 , 808 ,,, 2 ," 1,003 ", 4 , 848 , 3 , 887 , 2 ," 1,309 ", 1 ," 1,337 ", 1 ," 1,997 ",,, 2 ," 1,803 ", 4 ," 2,634 ", 1 ," 3,162 ", 1 ," 3,718 ", 3 ," 3,413 ", 2 ," 4,247 ",,,
049643, 1 ," 1,474 ", 2 ," 1,261 ",,, 1 , 605 ,,,,,,, 1 ," 1,042 ",,,,,,, 1 ," 1,181 ", 1 ," 1,193 ", 3 ," 1,460 ", 1 ," 2,257 ", 4 ," 1,556 ",,,,, 1 ," 2,881 ", 2 ," 4,196 ", 1 ," 2,865 ",,,
049649, 2 ," 1,932 ", 2 ," 1,971 ", 7 ," 1,341 ", 5 ," 1,322 ", 5 ," 1,202 ", 6 ," 1,093 ", 7 ," 1,203 ", 6 ," 1,250 ", 6 ," 1,151 ", 6 ," 1,058 ", 7 ," 1,216 ", 3 ," 1,432 ", 7 ," 1,347 ", 11 ," 1,674 ", 4 ," 1,994 ", 9 ," 2,019 ", 10 ," 2,203 ", 6 ," 2,380 ", 4 ," 2,556 ", 9 ," 3,636 ", 8 ," 3,390 ",,,
049653,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 1 ,,,,,,,,,,,,,,,,
049658, 1 ," 1,851 ", 2 ," 1,457 ", 2 , 884 , 16 ," 1,856 ", 3 ," 1,653 ", 14 ," 1,241 ", 1 ," 2,054 ", 4 ," 3,571 ",,,,, 2 ," 1,434 ", 1 ," 1,014 ", 1 ," 1,044 ",,, 2 ," 1,700 ", 1 ," 1,933 ", 1 ," 3,920 ",,, 3 ," 3,857 ",,, 1 ," 3,427 ",,,
049660,,,,,,,,,,,,,,, 4 ," 2,619 ", 5 ," 2,683 ", 1 ," 3,016 ",,, 1 ," 3,206 ",,,,, 1 ," 3,156 ", 2 ," 4,356 ",,, 1 ," 5,085 ", 1 ," 6,690 ",,,,,,,
049663,,,,, 1 ," 1,562 ", 13 ," 1,377 ", 40 ," 1,308 ", 20 ," 1,418 ", 57 ," 1,462 ", 20 ," 1,494 ", 17 ," 1,464 ", 12 ," 1,279 ", 22 ," 1,045 ", 26 ," 1,214 ", 68 ," 2,644 ", 69 ," 2,661 ", 55 ," 3,094 ", 38 ," 2,898 ", 26 ," 2,485 ", 18 ," 3,112 ", 10 ," 3,157 ", 10 ," 3,369 ", 10 ," 3,701 ", 1 ," 5,173 ",
050003, 1 ," 1,609 ",,,,,,,,,,,,, 1 ,, 2 ," 2,413 ",,,,, 1 ," 3,496 ", 2 ," 2,395 ",,, 2 ," 1,080 ",,,,, 1 ," 3,140 ", 4 ," 5,558 ",,, 2 ," 7,323 ",,,
050005,,,,,,,,,,,,, 4 ,, 8 ,, 2 ,, 8 ,, 12 ,, 6 ,, 7 ,,,, 2 ,, 1 ,, 1 ,, 2 ,,,,,, 1 ,,,,
050007,,,,,,,,, 1 ,,,,,,,,,,,,,,,,,, 2 ," 4,297 ", 1 ," 4,074 ",,,,,,,,,,, 1 ,,,,
050008, 5 ," 3,822 ", 12 ," 3,678 ", 8 ," 3,301 ", 7 ," 2,773 ", 1 ," 1,413 ", 1 ," 2,844 ", 3 ," 2,940 ", 2 ,, 1 ," 4,510 ", 1 ," 2,877 ", 3 ," 2,368 ", 7 ," 2,889 ", 4 ," 3,679 ", 2 ," 4,520 ",,, 4 ," 2,940 ", 3 ," 4,277 ", 2 ," 5,546 ", 4 ," 4,780 ",,, 2 ," 8,014 ", 1 ," 14,359 ",
050009,,,,,,,,,,,,, 6 ,, 2 ,,,,,, 1 ,,,,,,,,,,,, 1 ," 5,201 ", 2 ," 7,735 ",,,,,,,,,
050010,,,,,,,,,,,,, 12 ,, 3 ,, 1 ,,,, 8 ," 2,555 ", 6 ," 2,805 ", 1 ," 2,593 ", 1 ," 4,957 ",,,,,,,,, 1 ," 1,111 ",,,,,,,
050011,,,,,,,,,,,,, 3 ,,,,,, 1 ,,,,,, 2 ,,,,,,,,,,,,,,,,,,,,
050012,,,,,,,,,,,,, 6 ,, 6 ,, 3 ,,,,,,,, 2 ,,,, 1 ," 5,635 ",,,,,,, 1 ," 6,922 ",,,,,,,
050013,,,,,,,,,,,,, 54 ,, 8 ,, 5 ,, 1 ,, 4 ," 3,193 ", 6 ," 3,050 ", 1 ,,,, 1 ," 3,041 ", 1 ," 3,245 ", 2 ," 6,096 ", 1 ," 9,581 ", 1 ," 4,227 ",,, 2 ," 8,395 ",,,
050015,,,,,,,,,,,,, 2 ,,,,,,,,,, 5 ," 2,733 ",,,,,,,,,,,,,,,,,,,,,
050017,,,,,,,,,,,,, 14 ,, 6 ,,,,,,,, 3 ," 2,832 ",,,,,,,,,,,,,,, 2 ," 7,132 ", 1 ," 7,314 ",,,
050019,,,,,,,,,,,,, 11 ,, 2 ,, 1 ,, 1 ,, 2 ," 2,388 ", 2 ," 2,307 ", 1 ," 1,955 ",,,,, 1 ," 7,117 ", 1 ," 6,699 ",,, 1 ," 10,049 ",,, 1 ," 10,775 ",,,
050020,,,,,,,,,,,,, 7 ,, 2 ,,,, 1 ,,,, 1 ," 2,091 ",,,,, 1 ,,,,,, 1 ," 9,474 ",,,,,,,,,
050021,,,,,,,,,,,,, 9 ,, 5 ,, 1 ,,,,,, 3 ," 2,572 ",,,,,,, 2 ," 3,766 ", 1 ,,,,,,,,,,,,
050022,,,,,,,,,,,,, 2 ,, 1 ,, 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
050023,,,,,,,,,,,,, 5 ,, 3 ,, 1 ,,,,,,,, 1 ," 5,359 ",,,,,,,,,,,,, 2 ," 10,979 ",,,,,
050024,,,,,,,,,,,,, 7 ,,,, 2 ,,,,,, 1 ," 1,930 ",,,,,,,,,,, 1 ," 5,988 ",,,,,,,,,
050025,,,,,,,,,,,,, 1 ,,,, 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
050026,,,,,,,,,,,,, 3 ,, 1 ,, 1 ,,,,,,,,,, 1 ," 3,265 ", 1 ," 3,990 ",,,,,,, 1 ," 8,948 ",,, 1 ," 9,532 ",,,
050027,,,,,,,,,,,,, 5 ,, 2 ,,,,,, 1 ,,,,,,,,,,,,,,,, 1 ," 1,186 ", 1 ," 5,924 ",,, 1 ," 10,083 ",
050028,,,,,,,,,,,,, 7 ,,,,,,,,,,,,,,,,,,,,,, 1 ," 4,707 ",,,,,,,,,
050029,,,,,,,,,,,,, 4 ,,,,,,,,,,,,,,,,,,,,,,,, 1 ," 5,761 ",,,,,,,
050030,,,,,,,,,,,,, 4 ,, 2 ,,,,,,,, 1 ,,,,,,,,,, 1 ," 5,012 ",,,,,,,,,,,
050031,,,,,,,,,,,,, 7 ,,,,,,,,,,,,,,,,,,,,,,,, 1 ," 7,536 ",,,,,,,
050032,,,,,,,,,,,,, 7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
050033,,,,,,,,,,,,, 6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
050042,,,,,,,,,,,,, 49 , 997 , 30 , 991 , 26 , 991 , 32 ," 1,022 ", 63 ," 1,099 ", 64 ," 1,150 ", 84 ," 1,217 ", 27 ," 1,257 ", 8 ," 1,683 ", 3 ," 1,518 ", 2 ," 2,049 ", 7 ," 2,541 ", 4 ," 3,439 ", 2 ," 2,148 ", 4 ," 3,302 ", 2 ," 3,089 ",
050045,,,,,,,,,,,,, 3 ,, 1 ,, 5 ,, 7 ,, 1 ,, 7 ,,,,,, 1 ,,,, 1 ,, 2 ,, 1 ,,,,,,,,
050055,,,,, 1 ," 1,441 ",,, 1 ," 2,968 ",,, 2 , 696 ,,, 1 ," 1,858 ", 1 ," 1,944 ", 1 ," 1,146 ",,, 1 ," 3,796 ", 1 ," 2,346 ", 1 ,,,,,, 1 ," 2,083 ",,, 1 ," 2,943 ", 1 ," 4,933 ",,,
050056, 1 ," 3,733 ",,,,, 1 ," 1,813 ",,,,, 1 ," 2,280 ", 1 ," 2,029 ", 1 ," 2,073 ",,, 1 ," 2,796 ",,, 1 ," 2,829 ",,,,, 2 ," 3,690 ",,,,, 1 ," 4,251 ",,, 1 , 729 ,,,
050057,,,,,,,,, 1 ," 1,324 ", 1 ," 1,607 ", 1 ," 1,486 ",,,,, 1 ," 1,597 ", 2 ," 2,309 ",,,,, 2 ,, 1 ," 1,845 ", 3 ," 2,413 ",,,,,,,,,,,,,
050059,,,,,,,,,,,,,,,,, 1 ," 1,528 ",,,,,,,,,,,,,,, 1 ," 3,459 ", 1 ," 4,035 ",,,,,,,,,
050062, 2 ," 2,797 ",,,,,,, 1 ," 1,422 ", 3 ," 2,105 ", 2 ," 1,552 ", 1 ," 1,898 ",,,,,,,,,,, 1 ," 2,156 ", 2 ," 3,305 ",,,,,,,,, 2 ," 6,134 ",,,,,
050063, 1 ," 2,921 ", 2 ," 1,733 ", 3 ," 2,654 ", 1 ," 2,362 ", 1 ," 2,210 ", 1 ," 2,234 ", 2 ," 1,992 ",,, 1 ," 3,135 ", 2 ," 1,834 ", 2 ," 3,005 ", 4 ," 2,466 ",,,,,,, 4 ," 3,308 ", 4 ," 4,155 ",,, 1 ," 8,333 ", 3 ," 7,526 ", 2 ," 4,621 ",,,
050064,,,,,,,,, 1 ," 3,482 ",,,,,,,,,,,,,,,,,,,,, 1 ,,,,,,,,,,,,,,
050065, 1 ," 1,324 ",,,,, 1 ," 1,239 ",,,,,,, 1 ," 1,693 ", 1 ," 1,583 ",,,,,,, 1 ," 3,476 ", 4 ,, 1 ,,,,,,,, 1 ," 4,173 ",,,,,,,
050066,,,,, 1 ," 1,316 ",,,,, 1 ," 2,003 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
050067,,,,,,,,, 11 , 419 , 2 ,, 1 ," 1,997 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
050068,,, 1 ," 2,799 ",,,,,,,,,,,,,,,,,,, 1 ," 2,035 ",,,,,,, 1 ," 3,343 ", 1 ," 3,591 ",,, 1 ," 2,669 ", 1 ," 4,487 ", 1 ," 6,209 ",,,
050069,,,,,,, 1 ," 1,770 ",,,,, 1 ," 1,785 ",,,,, 1 ," 2,490 ", 1 ,, 1 ,,,,,, 1 ," 3,217 ",,,,,,, 1 ," 5,185 ", 1 ," 9,419 ",,,,,
050070,,,,,,,,,,,,,,,,,,,,,,,,,,, 1 ," 4,054 ",,, 1 ,,,,,,,,,,,,,,
050071,,, 1 ," 2,986 ",,,,, 1 ," 2,019 ", 1 ," 2,610 ",,,,,,,,,,,,, 1 ," 2,212 ",,,,, 1 ," 1,043 ",,, 1 ," 2,871 ",,,,,,,,,
050072, 1 ," 3,397 ", 4 ," 2,783 ",,,,,,, 1 ," 1,712 ", 1 ," 3,188 ",,,,, 2 ," 1,961 ", 1 ," 1,100 ", 2 ," 1,947 ",,, 1 ," 1,664 ",,,,, 2 ," 7,718 ", 1 , 620 , 1 ," 3,596 ",,, 2 ," 4,734 ", 1 ," 6,395 ",
050073,,, 1 ," 1,282 ",,,,,,, 1 , 521 ,,,,,,, 2 , 944 ,,,,, 1 ," 1,602 ",,,,, 2 ," 3,671 ", 1 ," 2,117 ",,,,,,, 1 ," 2,727 ",,,
050074,,,,,,, 1 ,, 1 ," 1,265 ",,, 1 ,, 2 ," 1,994 ",,,,,,, 1 ," 2,757 ", 1 ," 2,660 ",,,,,,,,,,, 2 ," 4,756 ", 1 ," 5,744 ", 2 ," 5,844 ",,,
050079,,, 1 ," 1,809 ",,,,,,, 1 , 987 , 1 ," 3,378 ",,, 2 ," 1,694 ",,,,, 1 ," 2,014 ",,,,,,, 1 ," 2,993 ",,, 1 ," 3,352 ",,, 1 ," 7,299 ",,,,,
050089, 1 ," 1,529 ", 1 ," 1,645 ",,, 2 ," 1,243 ", 3 ," 1,345 ", 1 , 579 ,,, 1 ," 1,365 ",,,,,,,,,,, 2 ," 1,876 ",,,,, 1 ," 3,485 ",,, 1 ," 4,040 ",,,,,,,
050093, 2 , 968 , 3 ," 1,017 ", 3 ," 1,603 ", 1 , 782 , 1 , 111 , 2 ," 1,095 ",,, 2 ," 1,188 ", 1 , 961 , 1 ," 1,343 ", 2 ," 1,045 ", 1 ," 1,136 ", 1 ," 1,508 ",,,,,,,,,,,,, 1 ," 2,806 ",,,,,
050103,,,,,,,,,,,,,,,,,,,,,,, 1 ,,,,,,,,,,,,,,,,,,,,,,
050104,,,,, 1 ," 1,611 ", 1 ," 1,564 ",,, 2 ,, 2 ,, 1 ," 1,417 ", 5 ," 1,507 ", 3 ,, 2 ,, 9 ," 2,011 ", 3 ,, 2 ," 2,186 ", 3 , 980 , 3 ," 2,556 ", 1 , 980 ,,,,,,,,,,,
050105,,,,,,,,,,,,,,,,,,,,, 1 ," 1,715 ",,,,, 3 ," 1,563 ", 4 ," 4,500 ", 3 ," 4,667 ", 2 ," 3,852 ", 3 ,,,,,,,,,,
050106,,,,,,,,,,,,,,,,,,,,,,,,, 11 ," 4,264 ", 8 ," 3,514 ", 1 ," 3,279 ",,, 1 ,, 1 ," 5,446 ", 1 ," 4,431 ",,,,,,,
050108,,, 2 ," 1,198 ",,,,,,,,,,,,,,,,, 4 ,,,,,,,,,,,,,, 2 ," 4,830 ",,,,,,,,,
050110,,,,,,,,,,,,,,,,,,,,,,,,,,, 1 ,,,,,,,,,,,,,,,,,,
050113,,,,,,, 1 ,, 1 ," 1,475 ",,,,, 2 , 915 ,,, 2 ," 1,238 ", 1 ," 1,463 ", 1 ," 1,585 ",,, 2 ," 2,696 ", 1 ," 2,987 ",,,,,,,,, 2 ," 4,220 ",,,,,
050114,,, 1 ," 1,876 ",,, 1 ," 1,895 ", 3 ," 2,265 ", 7 ," 2,437 ", 1 ," 2,127 ", 2 ," 1,716 ", 4 ," 1,863 ", 1 ," 3,561 ", 5 ," 1,405 ", 4 ," 1,781 ", 1 ," 1,818 ",,, 2 ," 1,704 ", 2 ," 2,941 ", 1 ," 2,159 ", 1 ," 4,488 ",,, 1 ," 3,487 ", 2 ," 5,058 ", 1 ," 6,441 ",
050119,,,,, 2 ," 1,690 ",,,,,,,,,,, 1 ," 1,429 ",,,,,,,,,,,,,,,,,,, 1 ," 6,044 ",,,,,,,
050120,,, 1 ," 2,205 ",,, 1 ," 4,245 ",,,,,,,,,,, 4 ," 1,708 ", 3 , 840 , 1 ," 1,101 ",,,,,,,,,,,,,,,,, 1 ," 3,007 ",,,
050121,,,,,,,,,,, 1 ," 1,156 ",,, 1 ," 1,280 ",,,,,,,,,,,,,,,,,,,,, 1 ," 3,634 ",,,,,,,
050122, 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
050123,,,,,,,,,,,,,,,,,,,,,,, 4 ," 4,424 ", 6 ," 4,642 ", 21 ," 4,260 ", 31 ," 4,764 ", 16 ," 5,305 ", 24 ," 5,744 ", 5 ," 6,809 ", 3 ," 4,439 ", 1 ," 6,078 ", 2 ," 8,425 ", 1 ," 7,500 ",
050124,,,,,,, 1 , 976 , 2 ," 1,786 ", 1 ,,,,,, 1 ," 3,278 ", 1 ," 2,521 ",,,,,,,,,,,,,,,,, 1 ,,,,,,,,
050125,,,,, 2 ," 1,775 ",,,,,,,,,,, 1 ," 2,579 ",,, 1 ," 2,881 ",,,,,,, 2 ," 2,523 ",,,,,,, 2 ," 3,903 ", 1 ," 8,047 ",,,,,
050126,,,,,,,,,,, 1 ," 1,614 ", 4 ," 1,952 ", 2 ," 1,750 ",,,,, 3 ," 2,023 ", 1 ,,,, 1 ," 2,388 ", 1 ," 3,004 ",,,,,,,,,,,,,,,
050128,,, 1 ," 1,190 ", 2 ," 1,900 ",,, 1 ," 1,145 ",,, 2 ," 1,220 ",,,,, 1 ," 3,107 ",,,,, 1 ," 2,198 ",,,,, 1 ," 2,146 ",,, 2 ," 2,279 ", 2 ," 4,863 ",,, 3 ," 3,613 ",,,
050129,,,,,,,,,,,,, 1 ,,,,,, 2 ," 1,173 ", 1 ," 1,587 ",,,,,,, 1 ," 1,746 ",,, 1 ," 3,495 ",,,,,,,,,,,
050130, 2 ," 1,782 ", 1 ," 1,517 ",,, 1 ,, 4 ,,,,,, 1 ," 3,860 ",,,,,,,,, 2 , 784 , 1 ," 3,164 ", 1 ,,,, 1 ,,,, 1 ," 4,110 ",,,,,,,
050131,,,,,,,,, 1 ," 1,433 ",,, 1 ," 1,497 ", 7 ," 1,336 ",,,,,,, 3 ," 3,428 ", 1 ," 1,021 ",,, 2 ," 2,687 ",,,,, 2 ," 4,308 ",,,,,,,,,
050132,,, 3 ," 1,707 ",,, 1 ," 1,602 ", 3 ,, 2 ,,,,,,,,,, 1 ," 3,609 ",,,,, 1 ," 2,229 ", 1 ," 2,907 ", 2 ," 2,766 ",,, 1 ," 3,585 ",,, 5 ," 4,211 ",,,,,
050133, 1 ," 1,615 ",,,,, 1 ,,,,,,,,,,,,,, 2 ," 2,070 ",,,,,,,,,,,,,,,,,,,,,,,
050134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 2 ,, 1 ,, 2 ,, 1 ,,
050136,,,,, 3 ," 2,285 ", 1 ," 2,251 ", 1 ,,,, 1 ,,,,,, 1 ,,,,,,,,,,,,,,,, 1 ,,,, 1 ,,,,,,
050138,,,,, 1 ,,,,,, 2 ,,,,,,,,,,,,,,,, 1 ," 1,923 ",,, 1 ," 4,682 ",,,,,,,,,,,,,
050139,,,,,,,,,,,,,,, 1 ," 2,692 ",,, 1 ," 1,389 ",,,,,,, 3 ,,,, 1 ," 2,864 ", 1 ," 5,397 ", 2 ," 4,346 ",,, 13 ," 6,407 ", 30 ," 6,151 ", 1 ,,
050141,,,,, 1 ," 6,022 ", 1 ," 2,144 ",,, 1 ," 1,610 ", 2 ," 1,979 ", 2 ," 2,183 ", 1 ," 1,347 ",,,,,,,,, 1 ," 3,289 ", 3 ," 2,956 ", 4 ," 2,645 ", 7 ," 2,606 ",,, 1 , 763 ,,, 1 ," 3,325 ",,,
050142,,,,, 2 ,, 3 ,,,, 2 ,, 3 ," 4,144 ",,, 3 ," 3,907 ", 1 ,,,,,,,,,, 1 ," 3,478 ",,, 1 ,,,,,, 1 ,,,,,,
050145,,,,,,, 2 ," 2,476 ",,,,,,,,,,,,,,,,, 1 ," 1,383 ",,,,, 1 ," 2,048 ",,,,,,,,,,,,,
050147,,, 1 ," 1,949 ",,,,,,,,,,, 1 ," 1,455 ",,, 1 ," 1,285 ",,,,,,,,,,,,,,,,,,,,,,,,,
050148,,,,, 2 ," 2,917 ",,, 1 ,,,,,,,,,, 1 ,, 1 ," 2,352 ",,,,, 1 ," 3,667 ",,, 1 ,,,, 1 ,,,,,,,,,,
050149,,,,,,,,,,,,,,, 1 ," 2,567 ", 1 ," 4,245 ", 2 ," 2,967 ",,,,,,, 2 ,,,,,,,,,,,,,,,,,,
050150,,, 1 ," 3,272 ",,,,,,,,, 1 ," 1,793 ",,,,,,,,,,, 1 ," 1,981 ",,,,,,,,,,,,,,,,,,,
050152, 9 ," 1,522 ", 12 ," 1,371 ", 11 ," 1,415 ", 9 ," 2,674 ", 8 ," 1,558 ", 15 ,, 18 ," 2,184 ", 13 ," 1,439 ", 4 ," 1,668 ", 3 ," 3,551 ", 5 ," 1,473 ", 3 ," 1,761 ", 6 ," 1,742 ", 6 ," 2,649 ", 2 ," 1,899 ", 1 ," 2,270 ", 1 ," 4,117 ", 1 ," 2,706 ", 5 ," 4,701 ", 4 ," 4,454 ", 3 ," 3,808 ", 2 ," 10,550 ",
050153, 2 ," 2,198 ",,, 1 ," 2,103 ",,,,,,,,, 1 ,,,,,, 1 ," 1,657 ",,,,, 1 ," 2,970 ",,, 1 ," 3,079 ", 1 ," 3,801 ",,,,,,,,,,,
050155, 1 ," 4,148 ",,, 1 ," 3,941 ",,,,,,, 1 ," 4,338 ",,, 1 ," 4,226 ", 1 ," 2,447 ",,, 1 ," 4,176 ", 1 , 933 , 3 ," 3,973 ", 4 ," 4,226 ", 3 ," 4,116 ",,, 1 ," 4,176 ",,,,, 1 ,,,,
050156,,,,, 1 ,, 2 ," 1,694 ",,,,,,,,,,, 2 ," 1,522 ",,,,, 1 ," 3,828 ", 3 ," 3,300 ",,, 1 ,,,, 1 ," 3,657 ",,,,,,,,,
050157,,, 1 ," 1,785 ",,,,, 1 ," 1,583 ",,,,, 1 , 967 , 3 ," 2,383 ", 1 , 258 , 2 ,,,, 1 , 902 ,,, 1 ," 2,182 ",,, 2 ," 3,224 ",,, 1 ," 3,395 ", 4 ," 6,575 ",,,,,
050158,,,,,,,,, 2 ,, 2 ,, 1 ,,,, 3 ,,,, 3 ,,,,,, 1 ,,,,,, 1 ,,,,,, 2 ,,,,,,
050159,,,,,,,,, 1 ," 1,262 ", 1 ," 1,531 ", 1 , 983 , 1 ," 1,285 ", 2 ," 1,400 ", 2 ," 2,171 ",,, 1 ,,,,,,,,,, 2 ," 2,610 ",,,,,,,,,,,
050160, 1 ," 1,471 ",,,,, 1 , 857 ,,,,,,,,,,,,, 1 ," 1,493 ",,,,,,,,,,, 1 ," 1,594 ",,, 1 ," 1,983 ",,, 2 ," 3,247 ",,,
050161, 1 , 598 , 1 ," 1,198 ", 1 ," 1,984 ",,,,,,,,,,, 1 , 950 , 1 ," 1,217 ", 3 ," 1,347 ",,, 1 ," 1,265 ", 2 ," 1,611 ",,, 1 ," 2,108 ", 1 ," 2,874 ",,,,, 1 ," 3,390 ",,,,,
050164, 1 ,,,,,,,, 1 ," 1,133 ",,,,,,, 1 ," 1,058 ", 1 ,,,,,,,, 2 ,,,, 3 ," 3,635 ",,,,,,,,,,,,,
050165, 1 ," 3,241 ", 2 ," 1,158 ", 2 ," 3,182 ", 1 , 866 , 3 ,, 5 ,, 6 ," 2,942 ", 1 ," 2,484 ",,,,, 4 ," 2,664 ", 1 ," 2,823 ", 1 ," 2,839 ", 1 ," 5,693 ", 1 ," 2,496 ", 3 ," 4,371 ",,,,,,, 1 ," 6,546 ", 2 ," 5,414 ",,,
050167,,,,, 2 ," 1,846 ",,,,,,,,,,,,,,,,,,, 1 ," 3,333 ",,,,,,,,,,,,, 1 ," 6,314 ",,,,,
050168, 1 ," 3,987 ", 2 ," 3,481 ",,,,,,, 2 ,, 1 ,, 3 ," 2,712 ", 7 ," 2,883 ", 3 ," 2,916 ", 5 ," 3,088 ",,, 14 ," 2,995 ",,,,, 2 ," 3,939 ", 1 ," 4,274 ", 1 ," 4,207 ",,, 1 ," 6,040 ", 1 ," 6,250 ",,,
050169,,,,, 1 ," 2,071 ",,,,, 1 ," 1,871 ",,, 1 ," 1,798 ",,, 1 ," 1,871 ",,,,,,,,,,,,,,,,,,,,,,,,,
050172,,,,,,,,,,,,,,,,,,,,,,, 1 ,, 1 ,, 4 ,, 1 ,, 3 ,,,,,, 1 ,,,, 1 ,,,,
050173, 4 ," 3,861 ", 6 ," 2,641 ", 10 ," 2,571 ", 2 ," 1,614 ",,, 1 ," 1,524 ",,, 1 ," 2,896 ", 4 ," 2,375 ", 1 ," 2,231 ", 1 ," 2,903 ",,, 4 ," 2,645 ", 3 ," 2,954 ", 1 ," 3,220 ", 3 ," 3,565 ", 1 ," 3,966 ", 1 ," 4,162 ", 1 ," 5,872 ", 4 ," 5,390 ", 2 ,,,,
050175,,, 1 ," 3,530 ",,,,, 1 ," 1,696 ", 3 ," 1,758 ", 1 ," 1,793 ", 1 ,, 1 ," 2,237 ", 1 ," 2,174 ", 1 ," 1,998 ", 1 ," 1,120 ",,,,,,,,,,,,,,, 1 ," 4,355 ", 1 ,,,,
