ZEIT;RAUMID;BEZ;PGR;BZR;PLR;STADTRAUM;E_A;E_AM;E_AW;E_A00_01;E_A01_02;E_A02_03;E_A03_05;E_A05_06;E_A06_07;E_A07_08;E_A08_10;E_A10_12;E_A12_14;E_A14_15;E_A15_18;E_A18_21;E_A21_25;E_A25_27;E_A27_30;E_A30_35;E_A35_40;E_A40_45;E_A45_50;E_A50_55;E_A55_60;E_A60_63;E_A63_65;E_A65_67;E_A67_70;E_A70_75;E_A75_80;E_A80_85;E_A85_90;E_A90_95;E_A95_110;E_AU1;E_A1U6;E_A6U15;E_A15U18;E_A18U25;E_A25U55;E_A55U65;E_A65U80;E_A80U110
200212;09052001;09;05;20;01;2;173;105;68;0;0;3;0;0;0;0;3;3;0;0;0;9;3;21;4;33;19;30;12;8;6;6;0;4;3;6;0;0;0;0;0;0;3;6;0;12;127;12;13;0
200212;10010101;10;01;01;01;2;213;115;98;0;0;3;0;0;4;4;6;6;15;6;7;9;15;6;25;31;24;19;21;6;0;0;0;0;0;0;3;0;3;0;0;0;3;41;7;24;132;0;3;3
200212;10010102;10;01;01;02;2;876;467;409;3;3;9;6;21;7;15;28;31;6;3;12;31;57;51;65;138;107;85;82;34;38;10;9;3;3;13;3;3;0;0;0;3;39;90;12;88;562;57;22;3
200212;10010203;10;01;02;03;2;54;39;15;0;0;0;7;0;3;0;0;3;3;3;0;0;3;3;0;4;3;16;3;0;3;0;0;0;0;0;0;0;0;0;0;0;7;12;0;3;29;3;0;0
200212;10010204;10;01;02;04;2;376;193;183;0;3;3;3;3;7;9;9;6;6;6;27;15;21;24;19;58;48;31;35;18;6;3;0;3;0;0;9;4;0;0;0;0;12;43;27;36;233;9;12;4
200212;10010205;10;01;02;05;2;214;147;67;0;0;0;3;0;9;0;3;4;3;3;3;7;6;12;23;21;28;32;15;24;3;6;6;0;0;3;0;0;0;0;0;0;3;22;3;13;155;15;3;0
200212;10010206;10;01;02;06;2;506;286;220;0;6;7;15;3;0;9;13;16;6;0;9;6;58;16;46;69;70;73;24;18;18;6;6;0;3;3;6;0;0;0;0;0;31;44;9;64;316;30;12;0
200212;10010207;10;01;02;07;2;325;161;164;0;3;3;9;0;4;6;13;9;9;3;7;12;19;24;21;31;47;38;28;24;3;0;0;0;0;6;0;6;0;0;0;0;15;44;7;31;213;3;6;6
200212;10010308;10;01;03;08;2;61;41;20;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;7;9;11;16;6;0;3;0;0;0;0;0;3;0;0;0;0;0;0;0;0;6;49;3;3;0
200212;10010309;10;01;03;09;2;462;251;211;0;0;3;9;0;0;7;9;12;9;9;9;9;47;25;23;51;57;66;37;25;21;3;3;3;10;3;9;0;0;3;0;0;12;46;9;56;284;27;25;3
